ocel_id,ocel_time
confirm_o-990002,2023-04-04 16:09:41
confirm_o-990001,2023-04-04 16:34:29
confirm_o-990005,2023-04-04 20:51:37
confirm_o-990006,2023-04-05 11:27:31
confirm_o-990003,2023-04-05 15:27:08
confirm_o-990007,2023-04-05 18:01:56
confirm_o-990008,2023-04-06 09:27:43
confirm_o-990009,2023-04-06 10:12:38
confirm_o-990004,2023-04-06 15:26:08
confirm_o-990010,2023-04-06 16:31:47
confirm_o-990012,2023-04-07 10:03:35
confirm_o-990013,2023-04-07 15:19:53
confirm_o-990014,2023-04-10 17:36:39
confirm_o-990017,2023-04-10 19:28:12
confirm_o-990011,2023-04-10 21:55:54
confirm_o-990018,2023-04-11 09:03:16
confirm_o-990016,2023-04-11 09:30:24
confirm_o-990015,2023-04-11 10:47:20
confirm_o-990019,2023-04-12 08:55:57
confirm_o-990021,2023-04-12 11:44:39
confirm_o-990020,2023-04-12 14:26:45
confirm_o-990022,2023-04-13 10:47:59
confirm_o-990023,2023-04-13 11:26:39
confirm_o-990025,2023-04-13 16:07:55
confirm_o-990026,2023-04-14 10:56:07
confirm_o-990024,2023-04-14 11:13:33
confirm_o-990030,2023-04-17 09:09:39
confirm_o-990027,2023-04-17 10:00:16
confirm_o-990029,2023-04-17 10:35:32
confirm_o-990028,2023-04-17 19:14:29
confirm_o-990033,2023-04-18 11:07:33
confirm_o-990031,2023-04-18 16:35:49
confirm_o-990035,2023-04-19 13:38:52
confirm_o-990034,2023-04-19 13:54:50
confirm_o-990037,2023-04-19 15:03:35
confirm_o-990036,2023-04-19 15:35:19
confirm_o-990032,2023-04-19 22:17:22
confirm_o-990039,2023-04-20 14:59:30
confirm_o-990041,2023-04-21 10:11:42
confirm_o-990038,2023-04-21 14:33:45
confirm_o-990042,2023-04-21 17:21:37
confirm_o-990043,2023-04-24 09:24:09
confirm_o-990045,2023-04-24 11:09:11
confirm_o-990044,2023-04-24 13:40:32
confirm_o-990047,2023-04-25 08:15:49
confirm_o-990048,2023-04-25 14:34:04
confirm_o-990050,2023-04-26 12:08:51
confirm_o-990046,2023-04-26 13:13:28
confirm_o-990051,2023-04-26 16:29:10
confirm_o-990053,2023-04-27 09:45:40
confirm_o-990049,2023-04-27 10:32:53
confirm_o-990052,2023-04-27 17:18:16
confirm_o-990055,2023-04-28 10:36:57
confirm_o-990057,2023-04-28 15:46:10
confirm_o-990056,2023-04-28 16:04:09
confirm_o-990040,2023-04-28 18:57:43
confirm_o-990054,2023-05-01 08:59:18
confirm_o-990061,2023-05-01 12:44:26
confirm_o-990059,2023-05-01 13:15:45
confirm_o-990060,2023-05-01 14:18:38
confirm_o-990058,2023-05-01 16:07:16
confirm_o-990064,2023-05-01 17:04:00
confirm_o-990063,2023-05-02 09:26:36
confirm_o-990066,2023-05-02 09:45:31
confirm_o-990067,2023-05-02 10:28:45
confirm_o-990068,2023-05-02 11:23:12
confirm_o-990069,2023-05-02 14:49:33
confirm_o-990070,2023-05-02 15:21:16
confirm_o-990062,2023-05-02 19:23:34
confirm_o-990074,2023-05-03 09:08:02
confirm_o-990075,2023-05-03 09:59:40
confirm_o-990071,2023-05-03 10:30:33
confirm_o-990076,2023-05-03 10:46:28
confirm_o-990072,2023-05-03 13:06:23
confirm_o-990073,2023-05-03 13:39:23
confirm_o-990077,2023-05-03 13:45:26
confirm_o-990065,2023-05-03 14:51:29
confirm_o-990079,2023-05-03 16:22:06
confirm_o-990078,2023-05-03 18:29:39
confirm_o-990080,2023-05-04 09:21:14
confirm_o-990083,2023-05-04 12:42:22
confirm_o-990084,2023-05-04 13:44:12
confirm_o-990081,2023-05-04 15:01:59
confirm_o-990082,2023-05-04 15:24:53
confirm_o-990085,2023-05-04 16:07:47
confirm_o-990086,2023-05-04 18:02:00
