ocel_id,ocel_time
out_of_stock_i-880016,2023-04-04 15:42:47
out_of_stock_i-880036,2023-04-05 13:24:16
out_of_stock_i-880018,2023-04-05 14:08:04
out_of_stock_i-880010,2023-04-05 14:24:55
out_of_stock_i-880033,2023-04-05 16:34:46
out_of_stock_i-880034,2023-04-06 09:40:04
out_of_stock_i-880035,2023-04-06 10:55:11
out_of_stock_i-880007,2023-04-06 14:09:37
out_of_stock_i-880046,2023-04-07 15:14:43
out_of_stock_i-880050,2023-04-10 11:03:45
out_of_stock_i-880081,2023-04-11 09:19:29
out_of_stock_i-880084,2023-04-11 10:26:08
out_of_stock_i-880065,2023-04-11 10:32:58
out_of_stock_i-880078,2023-04-11 12:07:07
out_of_stock_i-880074,2023-04-11 14:38:26
out_of_stock_i-880083,2023-04-11 15:49:13
out_of_stock_i-880066,2023-04-12 09:51:49
out_of_stock_i-880096,2023-04-12 10:44:57
out_of_stock_i-880079,2023-04-13 11:56:42
out_of_stock_i-880111,2023-04-13 17:19:43
out_of_stock_i-880105,2023-04-13 18:29:56
out_of_stock_i-880112,2023-04-13 21:03:34
out_of_stock_i-880114,2023-04-14 09:07:37
out_of_stock_i-880135,2023-04-17 13:51:22
out_of_stock_i-880102,2023-04-17 14:10:56
out_of_stock_i-880116,2023-04-17 17:45:28
out_of_stock_i-880152,2023-04-19 16:19:10
out_of_stock_i-880141,2023-04-19 16:35:57
out_of_stock_i-880131,2023-04-19 17:10:17
out_of_stock_i-880164,2023-04-19 21:26:39
out_of_stock_i-880153,2023-04-20 09:04:44
out_of_stock_i-880172,2023-04-20 11:28:36
out_of_stock_i-880166,2023-04-20 16:43:42
out_of_stock_i-880170,2023-04-21 12:14:31
out_of_stock_i-880186,2023-04-21 14:21:29
out_of_stock_i-880175,2023-04-21 16:43:05
out_of_stock_i-880157,2023-04-21 18:59:47
out_of_stock_i-880177,2023-04-24 15:49:08
out_of_stock_i-880203,2023-04-25 12:33:50
out_of_stock_i-880198,2023-04-25 13:01:37
out_of_stock_i-880197,2023-04-25 17:52:55
out_of_stock_i-880190,2023-04-26 14:11:35
out_of_stock_i-880224,2023-04-27 10:15:37
out_of_stock_i-880209,2023-04-27 12:15:06
out_of_stock_i-880202,2023-04-27 12:25:20
out_of_stock_i-880230,2023-04-27 17:08:39
out_of_stock_i-880239,2023-04-27 18:16:16
out_of_stock_i-880236,2023-04-28 17:09:41
out_of_stock_i-880247,2023-04-28 18:14:12
out_of_stock_i-880244,2023-05-01 08:30:51
out_of_stock_i-880229,2023-05-01 09:38:27
out_of_stock_i-880276,2023-05-01 17:28:04
out_of_stock_i-880262,2023-05-01 17:30:06
out_of_stock_i-880260,2023-05-01 18:48:43
out_of_stock_i-880256,2023-05-02 11:58:28
out_of_stock_i-880293,2023-05-02 12:03:26
out_of_stock_i-880289,2023-05-02 14:27:52
out_of_stock_i-880278,2023-05-02 16:13:30
out_of_stock_i-880288,2023-05-02 16:28:18
out_of_stock_i-880261,2023-05-02 16:56:04
out_of_stock_i-880263,2023-05-02 17:11:53
out_of_stock_i-880272,2023-05-02 17:35:41
out_of_stock_i-880320,2023-05-03 09:46:14
out_of_stock_i-880313,2023-05-03 11:06:46
out_of_stock_i-880303,2023-05-03 15:03:14
out_of_stock_i-880226,2023-05-03 16:07:26
out_of_stock_i-880254,2023-05-04 09:25:54
out_of_stock_i-880323,2023-05-04 09:29:19
out_of_stock_i-880343,2023-05-04 10:28:13
out_of_stock_i-880342,2023-05-04 11:56:12
out_of_stock_i-880360,2023-05-04 14:59:08
out_of_stock_i-880330,2023-05-04 16:19:29
out_of_stock_i-880338,2023-05-05 09:56:17
out_of_stock_i-880279,2023-05-05 11:01:00
out_of_stock_i-880373,2023-05-05 11:24:29
out_of_stock_i-880377,2023-05-05 11:53:12
out_of_stock_i-880380,2023-05-05 14:48:00
out_of_stock_i-880399,2023-05-05 14:50:08
out_of_stock_i-880334,2023-05-05 14:52:46
out_of_stock_i-880395,2023-05-05 16:17:52
out_of_stock_i-880346,2023-05-05 17:25:12
out_of_stock_i-880361,2023-05-08 09:22:53
out_of_stock_i-880409,2023-05-08 09:23:16
out_of_stock_i-880369,2023-05-08 09:40:42
out_of_stock_i-880348,2023-05-08 09:41:31
out_of_stock_i-880367,2023-05-08 11:09:57
out_of_stock_i-880435,2023-05-08 12:15:48
out_of_stock_i-880424,2023-05-08 13:27:05
out_of_stock_i-880433,2023-05-08 14:11:00
out_of_stock_i-880414,2023-05-08 15:44:35
out_of_stock_i-880408,2023-05-08 17:08:07
out_of_stock_i-880452,2023-05-08 17:52:14
out_of_stock_i-880398,2023-05-08 21:46:30
out_of_stock_i-880463,2023-05-09 08:48:30
out_of_stock_i-880455,2023-05-09 10:37:09
out_of_stock_i-880451,2023-05-09 10:47:15
out_of_stock_i-880464,2023-05-09 10:56:09
out_of_stock_i-880351,2023-05-09 12:04:24
out_of_stock_i-880470,2023-05-09 13:21:30
out_of_stock_i-880375,2023-05-09 13:46:59
out_of_stock_i-880385,2023-05-09 17:05:35
out_of_stock_i-880415,2023-05-10 09:53:09
out_of_stock_i-880487,2023-05-10 10:54:51
out_of_stock_i-880447,2023-05-10 11:51:56
out_of_stock_i-880469,2023-05-10 14:32:42
out_of_stock_i-880523,2023-05-11 10:17:51
out_of_stock_i-880381,2023-05-11 11:16:57
out_of_stock_i-880526,2023-05-11 11:48:12
out_of_stock_i-880488,2023-05-11 13:37:18
out_of_stock_i-880513,2023-05-11 15:16:26
out_of_stock_i-880494,2023-05-11 17:28:25
out_of_stock_i-880536,2023-05-12 10:00:29
out_of_stock_i-880484,2023-05-12 10:12:30
out_of_stock_i-880529,2023-05-12 10:26:49
out_of_stock_i-880430,2023-05-12 10:45:00
out_of_stock_i-880504,2023-05-12 10:47:57
out_of_stock_i-880489,2023-05-12 11:08:46
out_of_stock_i-880434,2023-05-12 11:41:20
out_of_stock_i-880554,2023-05-12 14:34:54
