ocel_id,ocel_time
deliver_p-660001,2023-04-11 11:03:27
deliver_p-660004,2023-04-13 08:08:48
deliver_p-660002,2023-04-13 15:28:20
deliver_p-660003,2023-04-13 18:01:52
deliver_p-660005,2023-04-13 19:27:26
deliver_p-660007,2023-04-18 09:51:02
deliver_p-660006,2023-04-18 15:24:23
deliver_p-660008,2023-04-18 21:45:58
deliver_p-660009,2023-04-19 10:22:59
deliver_p-660010,2023-04-19 11:39:16
deliver_p-660011,2023-04-20 12:54:38
deliver_p-660012,2023-04-21 09:46:26
deliver_p-660013,2023-04-21 18:38:23
deliver_p-660014,2023-04-24 11:25:23
deliver_p-660016,2023-04-24 16:56:02
deliver_p-660015,2023-04-24 20:38:09
deliver_p-660017,2023-04-25 15:43:47
deliver_p-660019,2023-04-25 18:23:20
deliver_p-660018,2023-04-26 11:29:18
deliver_p-660020,2023-04-27 09:28:18
deliver_p-660021,2023-04-28 09:43:45
deliver_p-660022,2023-05-01 08:53:21
deliver_p-660023,2023-05-01 10:12:39
deliver_p-660024,2023-05-01 20:34:34
deliver_p-660025,2023-05-03 16:15:45
deliver_p-660029,2023-05-04 08:52:38
deliver_p-660028,2023-05-04 10:30:36
deliver_p-660030,2023-05-04 10:39:13
deliver_p-660032,2023-05-04 14:15:35
deliver_p-660035,2023-05-05 09:02:34
deliver_p-660031,2023-05-05 09:20:52
deliver_p-660026,2023-05-05 10:42:10
deliver_p-660034,2023-05-05 12:21:31
deliver_p-660033,2023-05-05 12:32:38
deliver_p-660036,2023-05-05 14:38:24
deliver_p-660038,2023-05-08 11:05:44
deliver_p-660027,2023-05-08 16:23:52
deliver_p-660037,2023-05-09 09:48:06
deliver_p-660039,2023-05-09 10:51:13
deliver_p-660041,2023-05-09 16:51:50
deliver_p-660045,2023-05-10 08:07:45
deliver_p-660040,2023-05-10 09:10:03
deliver_p-660042,2023-05-10 09:43:55
deliver_p-660043,2023-05-10 10:58:01
deliver_p-660046,2023-05-10 15:08:11
deliver_p-660044,2023-05-10 17:22:12
deliver_p-660048,2023-05-10 21:27:15
deliver_p-660047,2023-05-11 14:15:57
deliver_p-660050,2023-05-11 15:45:25
deliver_p-660051,2023-05-11 16:03:35
deliver_p-660049,2023-05-11 16:36:37
deliver_p-660052,2023-05-12 16:00:41
deliver_p-660058,2023-05-12 17:55:54
deliver_p-660055,2023-05-15 11:30:49
deliver_p-660056,2023-05-15 14:23:47
deliver_p-660053,2023-05-15 15:31:39
deliver_p-660057,2023-05-15 16:00:43
deliver_p-660059,2023-05-15 17:05:17
deliver_p-660054,2023-05-15 17:29:12
deliver_p-660061,2023-05-15 19:33:37
deliver_p-660060,2023-05-16 12:15:25
deliver_p-660064,2023-05-16 12:31:47
deliver_p-660062,2023-05-16 14:17:44
deliver_p-660067,2023-05-16 15:52:52
deliver_p-660065,2023-05-16 16:14:30
deliver_p-660066,2023-05-16 16:18:06
deliver_p-660069,2023-05-17 10:28:17
deliver_p-660063,2023-05-17 16:21:59
deliver_p-660072,2023-05-18 10:32:20
deliver_p-660073,2023-05-18 11:37:54
deliver_p-660074,2023-05-18 14:01:57
deliver_p-660070,2023-05-18 14:34:25
deliver_p-660068,2023-05-19 10:55:06
deliver_p-660075,2023-05-19 11:06:52
deliver_p-660077,2023-05-19 13:56:52
deliver_p-660078,2023-05-19 16:06:16
deliver_p-660082,2023-05-19 16:41:12
deliver_p-660081,2023-05-19 16:47:44
deliver_p-660079,2023-05-19 18:31:46
deliver_p-660076,2023-05-22 08:22:25
deliver_p-660071,2023-05-22 12:45:42
deliver_p-660084,2023-05-22 14:59:49
deliver_p-660087,2023-05-22 22:52:22
deliver_p-660080,2023-05-23 10:59:56
deliver_p-660086,2023-05-23 14:09:23
deliver_p-660088,2023-05-23 15:58:09
deliver_p-660090,2023-05-23 16:00:31
deliver_p-660083,2023-05-24 08:33:57
deliver_p-660089,2023-05-24 10:36:41
deliver_p-660085,2023-05-24 12:10:28
deliver_p-660096,2023-05-24 12:59:55
deliver_p-660095,2023-05-24 14:15:26
deliver_p-660092,2023-05-24 14:31:06
deliver_p-660093,2023-05-24 18:39:39
deliver_p-660094,2023-05-25 10:07:58
deliver_p-660098,2023-05-25 17:28:09
deliver_p-660099,2023-05-25 18:14:27
deliver_p-660091,2023-05-26 09:27:01
deliver_p-660097,2023-05-26 14:34:00
deliver_p-660101,2023-05-26 17:02:44
deliver_p-660106,2023-05-26 17:33:47
deliver_p-660103,2023-05-29 10:26:01
deliver_p-660102,2023-05-29 12:10:40
deliver_p-660104,2023-05-29 12:27:16
deliver_p-660100,2023-05-29 14:18:06
deliver_p-660107,2023-05-29 15:51:42
deliver_p-660108,2023-05-30 09:06:44
deliver_p-660109,2023-05-30 09:46:28
deliver_p-660105,2023-05-30 10:37:45
deliver_p-660115,2023-05-30 14:30:09
deliver_p-660113,2023-05-30 15:01:03
deliver_p-660114,2023-05-30 16:38:02
deliver_p-660117,2023-05-31 09:51:08
deliver_p-660119,2023-05-31 09:57:29
deliver_p-660112,2023-05-31 12:42:38
deliver_p-660118,2023-05-31 13:31:54
deliver_p-660110,2023-05-31 14:13:36
deliver_p-660116,2023-05-31 15:13:36
deliver_p-660120,2023-06-01 12:25:19
deliver_p-660121,2023-06-01 12:27:08
deliver_p-660127,2023-06-01 12:40:53
deliver_p-660123,2023-06-01 13:54:10
deliver_p-660122,2023-06-01 14:56:24
deliver_p-660128,2023-06-01 15:32:30
deliver_p-660124,2023-06-01 15:54:32
deliver_p-660125,2023-06-01 16:21:04
deliver_p-660126,2023-06-01 16:35:52
deliver_p-660111,2023-06-01 19:29:43
deliver_p-660132,2023-06-02 09:56:30
deliver_p-660129,2023-06-02 10:49:09
deliver_p-660131,2023-06-02 11:37:14
deliver_p-660133,2023-06-02 14:40:40
deliver_p-660130,2023-06-05 10:21:31
deliver_p-660135,2023-06-05 11:38:30
deliver_p-660136,2023-06-05 14:13:10
deliver_p-660134,2023-06-05 15:50:15
deliver_p-660137,2023-06-05 16:46:24
deliver_p-660138,2023-06-05 17:07:10
deliver_p-660140,2023-06-06 09:05:20
deliver_p-660139,2023-06-06 14:14:29
deliver_p-660141,2023-06-07 08:50:32
deliver_p-660143,2023-06-07 14:21:23
deliver_p-660142,2023-06-08 09:04:40
deliver_p-660144,2023-06-08 09:39:11
deliver_p-660145,2023-06-08 09:41:52
deliver_p-660151,2023-06-08 14:43:21
deliver_p-660149,2023-06-08 15:39:21
deliver_p-660148,2023-06-08 16:13:37
deliver_p-660147,2023-06-08 16:47:48
deliver_p-660150,2023-06-08 17:57:47
deliver_p-660153,2023-06-09 16:19:27
deliver_p-660146,2023-06-09 17:31:05
deliver_p-660157,2023-06-12 15:06:59
deliver_p-660152,2023-06-12 15:38:51
deliver_p-660156,2023-06-12 17:49:58
deliver_p-660158,2023-06-12 20:00:25
deliver_p-660154,2023-06-13 09:27:22
deliver_p-660159,2023-06-13 11:45:54
deliver_p-660155,2023-06-13 14:34:25
deliver_p-660163,2023-06-13 15:03:29
deliver_p-660161,2023-06-13 15:28:13
deliver_p-660162,2023-06-13 15:47:24
deliver_p-660166,2023-06-13 20:57:11
deliver_p-660165,2023-06-14 10:49:40
deliver_p-660160,2023-06-14 11:24:19
deliver_p-660168,2023-06-14 15:40:32
deliver_p-660169,2023-06-15 11:00:10
deliver_p-660164,2023-06-15 11:41:06
deliver_p-660167,2023-06-15 12:07:34
deliver_p-660172,2023-06-15 15:33:07
deliver_p-660170,2023-06-15 16:32:56
deliver_p-660175,2023-06-15 17:09:09
deliver_p-660171,2023-06-15 17:16:35
deliver_p-660177,2023-06-16 10:57:33
deliver_p-660181,2023-06-16 21:35:23
deliver_p-660174,2023-06-19 09:26:28
deliver_p-660176,2023-06-19 11:11:32
deliver_p-660179,2023-06-19 12:36:21
deliver_p-660173,2023-06-19 16:25:44
deliver_p-660180,2023-06-19 17:36:05
deliver_p-660184,2023-06-20 09:55:05
deliver_p-660178,2023-06-20 10:28:09
deliver_p-660186,2023-06-20 12:51:44
deliver_p-660183,2023-06-20 15:28:21
deliver_p-660182,2023-06-20 16:49:13
deliver_p-660185,2023-06-21 09:36:30
deliver_p-660187,2023-06-21 15:47:03
deliver_p-660190,2023-06-21 22:24:14
deliver_p-660189,2023-06-22 09:22:22
deliver_p-660194,2023-06-22 10:08:21
deliver_p-660192,2023-06-22 10:12:38
deliver_p-660188,2023-06-22 10:46:30
deliver_p-660195,2023-06-22 11:50:56
deliver_p-660193,2023-06-22 15:58:38
deliver_p-660191,2023-06-23 09:43:44
deliver_p-660197,2023-06-23 10:26:41
deliver_p-660201,2023-06-23 13:04:45
deliver_p-660196,2023-06-23 14:14:55
deliver_p-660199,2023-06-23 16:12:51
deliver_p-660198,2023-06-23 17:06:40
deliver_p-660200,2023-06-23 17:16:09
deliver_p-660208,2023-06-26 14:15:12
deliver_p-660202,2023-06-26 14:54:05
deliver_p-660207,2023-06-26 18:08:01
deliver_p-660203,2023-06-26 18:11:03
deliver_p-660204,2023-06-27 09:27:59
deliver_p-660206,2023-06-27 10:29:01
deliver_p-660209,2023-06-27 12:57:03
deliver_p-660205,2023-06-27 14:53:56
deliver_p-660211,2023-06-27 16:37:15
deliver_p-660212,2023-06-27 17:37:58
deliver_p-660214,2023-06-27 19:36:57
deliver_p-660213,2023-06-28 10:01:59
deliver_p-660217,2023-06-28 17:09:39
deliver_p-660221,2023-06-28 18:57:08
deliver_p-660215,2023-06-29 10:20:03
deliver_p-660216,2023-06-29 10:26:45
deliver_p-660210,2023-06-29 10:29:33
deliver_p-660220,2023-06-29 11:04:04
deliver_p-660219,2023-06-29 14:50:35
deliver_p-660224,2023-06-29 16:45:47
deliver_p-660218,2023-06-29 17:23:06
deliver_p-660227,2023-06-30 16:02:11
deliver_p-660222,2023-06-30 16:37:46
deliver_p-660225,2023-07-03 09:38:20
deliver_p-660228,2023-07-03 09:54:50
deliver_p-660226,2023-07-03 12:25:26
deliver_p-660230,2023-07-03 15:20:44
deliver_p-660223,2023-07-03 18:56:02
deliver_p-660229,2023-07-04 12:28:15
deliver_p-660231,2023-07-04 12:45:37
deliver_p-660232,2023-07-04 16:39:48
deliver_p-660236,2023-07-04 16:46:43
deliver_p-660234,2023-07-05 08:20:31
deliver_p-660239,2023-07-05 11:12:11
deliver_p-660237,2023-07-05 11:17:04
deliver_p-660240,2023-07-06 09:03:19
deliver_p-660242,2023-07-06 09:38:35
deliver_p-660233,2023-07-06 10:13:51
deliver_p-660235,2023-07-06 12:05:55
deliver_p-660238,2023-07-06 12:45:09
deliver_p-660243,2023-07-06 13:58:08
deliver_p-660241,2023-07-06 16:05:30
deliver_p-660250,2023-07-07 10:58:16
deliver_p-660245,2023-07-07 11:13:51
deliver_p-660252,2023-07-07 19:06:18
deliver_p-660251,2023-07-07 19:27:00
deliver_p-660249,2023-07-10 10:22:32
deliver_p-660244,2023-07-10 10:57:02
deliver_p-660246,2023-07-10 12:12:24
deliver_p-660248,2023-07-10 12:28:48
deliver_p-660247,2023-07-11 11:46:09
deliver_p-660255,2023-07-11 16:53:38
deliver_p-660257,2023-07-11 17:04:52
deliver_p-660256,2023-07-12 10:23:08
deliver_p-660259,2023-07-12 12:03:16
deliver_p-660254,2023-07-12 15:16:12
deliver_p-660262,2023-07-12 15:52:39
deliver_p-660253,2023-07-12 16:12:22
deliver_p-660258,2023-07-13 09:29:19
deliver_p-660261,2023-07-13 09:35:22
deliver_p-660266,2023-07-13 12:16:38
deliver_p-660264,2023-07-13 14:09:01
deliver_p-660268,2023-07-13 15:25:04
deliver_p-660263,2023-07-13 16:01:52
deliver_p-660267,2023-07-14 12:04:06
deliver_p-660271,2023-07-14 15:46:16
deliver_p-660269,2023-07-14 17:25:39
deliver_p-660260,2023-07-17 10:20:02
deliver_p-660270,2023-07-17 12:44:24
deliver_p-660272,2023-07-17 14:48:46
deliver_p-660274,2023-07-17 14:57:41
deliver_p-660275,2023-07-18 08:55:35
deliver_p-660277,2023-07-18 09:45:45
deliver_p-660273,2023-07-18 11:19:21
deliver_p-660279,2023-07-18 14:01:57
deliver_p-660280,2023-07-18 14:31:48
deliver_p-660278,2023-07-18 15:20:44
deliver_p-660265,2023-07-18 15:41:49
deliver_p-660282,2023-07-18 17:00:17
deliver_p-660281,2023-07-19 09:47:42
deliver_p-660286,2023-07-19 16:54:28
deliver_p-660285,2023-07-20 09:54:48
deliver_p-660276,2023-07-20 10:30:01
deliver_p-660284,2023-07-20 11:14:56
deliver_p-660287,2023-07-20 12:18:32
deliver_p-660283,2023-07-20 14:36:26
deliver_p-660288,2023-07-20 16:22:11
deliver_p-660294,2023-07-20 18:04:03
deliver_p-660289,2023-07-21 15:35:19
deliver_p-660292,2023-07-21 16:54:13
deliver_p-660298,2023-07-24 08:34:10
deliver_p-660299,2023-07-24 15:58:34
deliver_p-660291,2023-07-24 16:35:32
deliver_p-660293,2023-07-25 08:54:29
deliver_p-660295,2023-07-25 11:34:29
deliver_p-660304,2023-07-25 12:12:58
deliver_p-660296,2023-07-25 12:45:47
deliver_p-660300,2023-07-25 13:11:11
deliver_p-660297,2023-07-25 13:31:20
deliver_p-660301,2023-07-25 15:36:19
deliver_p-660303,2023-07-25 16:00:36
deliver_p-660302,2023-07-25 18:33:40
deliver_p-660306,2023-07-26 16:06:39
deliver_p-660309,2023-07-26 17:26:43
deliver_p-660307,2023-07-27 10:47:56
deliver_p-660315,2023-07-27 11:39:20
deliver_p-660310,2023-07-27 11:48:51
deliver_p-660290,2023-07-27 14:02:00
deliver_p-660308,2023-07-27 16:28:22
deliver_p-660305,2023-07-27 17:17:32
deliver_p-660312,2023-07-27 19:20:39
deliver_p-660317,2023-07-28 11:18:55
deliver_p-660316,2023-07-28 14:30:21
deliver_p-660320,2023-07-28 15:34:20
deliver_p-660319,2023-07-28 16:33:27
deliver_p-660318,2023-07-28 16:37:38
deliver_p-660321,2023-07-28 17:24:33
deliver_p-660323,2023-07-28 19:48:10
deliver_p-660313,2023-07-31 14:50:15
deliver_p-660322,2023-07-31 16:09:06
deliver_p-660311,2023-08-01 10:00:13
deliver_p-660314,2023-08-01 15:28:36
deliver_p-660324,2023-08-02 10:40:50
deliver_p-660326,2023-08-02 15:55:42
deliver_p-660327,2023-08-02 17:12:36
deliver_p-660334,2023-08-03 08:46:03
deliver_p-660329,2023-08-03 14:35:23
deliver_p-660332,2023-08-03 16:58:12
deliver_p-660335,2023-08-03 18:21:54
deliver_p-660331,2023-08-04 09:52:37
deliver_p-660333,2023-08-04 10:24:53
deliver_p-660336,2023-08-04 11:33:49
deliver_p-660328,2023-08-04 11:48:37
deliver_p-660341,2023-08-07 09:48:11
deliver_p-660342,2023-08-07 10:57:09
deliver_p-660330,2023-08-07 16:14:45
deliver_p-660338,2023-08-08 10:05:07
deliver_p-660339,2023-08-08 10:31:11
deliver_p-660340,2023-08-08 11:23:57
deliver_p-660344,2023-08-08 11:56:33
deliver_p-660325,2023-08-08 12:08:32
deliver_p-660343,2023-08-08 13:15:01
deliver_p-660346,2023-08-08 15:13:47
deliver_p-660337,2023-08-08 18:27:48
deliver_p-660345,2023-08-09 14:14:08
deliver_p-660352,2023-08-09 17:12:20
deliver_p-660350,2023-08-10 08:45:07
deliver_p-660356,2023-08-10 13:06:56
deliver_p-660347,2023-08-10 13:59:51
deliver_p-660348,2023-08-10 14:31:42
deliver_p-660353,2023-08-10 16:37:22
deliver_p-660351,2023-08-10 16:38:19
deliver_p-660354,2023-08-11 18:14:43
deliver_p-660349,2023-08-14 08:54:12
deliver_p-660358,2023-08-14 12:14:37
deliver_p-660359,2023-08-15 10:20:51
deliver_p-660360,2023-08-15 11:58:15
deliver_p-660368,2023-08-15 12:47:11
deliver_p-660362,2023-08-15 13:13:06
deliver_p-660357,2023-08-15 13:48:59
deliver_p-660365,2023-08-15 15:17:30
deliver_p-660367,2023-08-15 16:16:09
deliver_p-660364,2023-08-16 09:42:56
deliver_p-660366,2023-08-16 10:58:11
deliver_p-660371,2023-08-16 11:49:14
deliver_p-660363,2023-08-16 12:14:34
deliver_p-660370,2023-08-16 13:41:44
deliver_p-660372,2023-08-16 18:23:13
deliver_p-660361,2023-08-17 11:35:29
deliver_p-660373,2023-08-17 11:59:55
deliver_p-660369,2023-08-17 15:19:03
deliver_p-660377,2023-08-17 18:17:25
deliver_p-660378,2023-08-18 14:11:08
deliver_p-660379,2023-08-18 15:31:43
deliver_p-660355,2023-08-18 16:31:41
deliver_p-660376,2023-08-18 17:28:48
deliver_p-660375,2023-08-18 21:11:29
deliver_p-660374,2023-08-21 16:09:56
deliver_p-660382,2023-08-21 16:49:12
deliver_p-660383,2023-08-21 17:13:23
deliver_p-660381,2023-08-22 10:17:15
deliver_p-660385,2023-08-22 15:45:42
deliver_p-660386,2023-08-22 16:03:25
deliver_p-660392,2023-08-23 11:45:45
deliver_p-660391,2023-08-23 14:34:16
deliver_p-660393,2023-08-23 14:59:28
deliver_p-660388,2023-08-24 10:58:44
deliver_p-660384,2023-08-24 11:14:41
deliver_p-660380,2023-08-24 15:03:25
deliver_p-660399,2023-08-24 15:24:47
deliver_p-660394,2023-08-24 16:42:34
deliver_p-660396,2023-08-24 18:53:05
deliver_p-660387,2023-08-24 18:58:22
deliver_p-660389,2023-08-25 09:56:31
deliver_p-660397,2023-08-25 11:02:34
