ocel_id,ocel_time
pay_o-990005,2023-04-05 17:28:14
pay_o-990001,2023-04-05 17:47:04
pay_o-990008,2023-04-06 16:30:08
pay_o-990007,2023-04-07 13:22:22
pay_o-990002,2023-04-10 13:00:09
pay_o-990014,2023-04-11 08:43:14
pay_o-990006,2023-04-12 15:22:49
pay_o-990015,2023-04-12 15:34:14
pay_o-990011,2023-04-12 18:44:17
pay_o-990021,2023-04-13 18:25:42
pay_o-990017,2023-04-13 20:52:12
pay_o-990025,2023-04-14 10:05:59
pay_o-990018,2023-04-14 10:26:41
pay_o-990020,2023-04-17 11:17:45
pay_o-990027,2023-04-17 13:47:52
pay_o-990019,2023-04-18 15:39:09
pay_o-990010,2023-04-18 16:41:49
pay_o-990030,2023-04-19 10:05:51
pay_o-990035,2023-04-19 15:46:50
pay_o-990022,2023-04-21 09:39:11
pay_o-990033,2023-04-21 10:58:46
pay_o-990024,2023-04-21 14:53:48
pay_o-990032,2023-04-21 16:13:19
pay_o-990039,2023-04-24 18:58:03
pay_o-990047,2023-04-26 15:05:15
pay_o-990028,2023-04-26 15:43:20
pay_o-990050,2023-04-26 16:00:15
pay_o-990044,2023-04-27 12:50:21
pay_o-990029,2023-04-27 15:28:08
pay_o-990009,2023-04-27 15:55:33
pay_o-990031,2023-04-27 22:22:34
pay_o-990045,2023-04-28 08:57:52
pay_o-990026,2023-04-28 09:03:32
pay_o-990013,2023-04-28 09:18:45
pay_o-990004,2023-05-01 09:40:47
pay_o-990043,2023-05-01 16:58:54
pay_o-990067,2023-05-02 12:34:32
pay_o-990066,2023-05-02 15:44:08
pay_o-990060,2023-05-03 09:15:45
pay_o-990057,2023-05-03 12:22:07
pay_o-990052,2023-05-03 14:12:52
pay_o-990077,2023-05-03 14:55:37
pay_o-990003,2023-05-03 16:12:32
pay_o-990041,2023-05-03 16:42:26
pay_o-990076,2023-05-03 17:34:36
pay_o-990046,2023-05-04 10:32:52
pay_o-990012,2023-05-04 12:12:44
pay_o-990042,2023-05-04 12:13:49
pay_o-990075,2023-05-04 12:40:51
pay_o-990038,2023-05-04 14:46:33
pay_o-990064,2023-05-04 14:47:02
pay_o-990082,2023-05-04 15:50:45
pay_o-990065,2023-05-04 16:07:20
pay_o-990016,2023-05-04 18:22:08
pay_o-990079,2023-05-05 09:07:51
pay_o-990040,2023-05-05 09:17:33
pay_o-990054,2023-05-05 09:33:10
pay_o-990078,2023-05-05 09:49:35
pay_o-990058,2023-05-05 13:51:27
pay_o-990073,2023-05-05 16:00:24
pay_o-990023,2023-05-08 10:22:38
pay_o-990091,2023-05-08 10:25:27
pay_o-990055,2023-05-08 11:21:03
pay_o-990053,2023-05-08 11:36:58
pay_o-990083,2023-05-08 12:13:15
pay_o-990099,2023-05-08 13:36:27
pay_o-990080,2023-05-08 14:55:43
pay_o-990056,2023-05-08 17:12:34
pay_o-990051,2023-05-09 09:25:50
pay_o-990070,2023-05-09 13:26:56
pay_o-990105,2023-05-10 11:14:45
pay_o-990049,2023-05-10 11:19:14
pay_o-990107,2023-05-10 11:33:40
pay_o-990098,2023-05-10 12:54:40
pay_o-990111,2023-05-10 14:07:12
pay_o-990069,2023-05-10 15:16:48
pay_o-990097,2023-05-10 16:00:47
pay_o-990115,2023-05-10 16:30:40
pay_o-990084,2023-05-10 16:41:10
pay_o-990071,2023-05-10 16:43:40
pay_o-990090,2023-05-11 10:19:12
pay_o-990061,2023-05-11 10:21:53
pay_o-990119,2023-05-11 13:48:34
pay_o-990103,2023-05-11 15:23:11
pay_o-990068,2023-05-11 16:13:12
pay_o-990101,2023-05-11 17:13:44
pay_o-990112,2023-05-12 10:16:57
pay_o-990086,2023-05-12 12:02:54
pay_o-990106,2023-05-12 12:17:23
pay_o-990109,2023-05-12 13:56:13
pay_o-990117,2023-05-12 14:32:33
pay_o-990126,2023-05-12 16:31:38
pay_o-990062,2023-05-12 16:37:28
pay_o-990121,2023-05-12 22:05:17
pay_o-990133,2023-05-15 09:15:32
pay_o-990131,2023-05-15 13:58:02
pay_o-990142,2023-05-15 14:45:44
pay_o-990127,2023-05-15 15:06:44
pay_o-990137,2023-05-15 16:26:28
pay_o-990114,2023-05-15 16:31:10
pay_o-990134,2023-05-15 16:41:20
pay_o-990087,2023-05-16 10:01:47
pay_o-990085,2023-05-16 11:39:47
pay_o-990148,2023-05-16 16:39:15
pay_o-990072,2023-05-16 16:52:29
pay_o-990153,2023-05-16 17:19:59
pay_o-990089,2023-05-16 17:39:27
pay_o-990120,2023-05-16 19:10:37
pay_o-990096,2023-05-17 09:31:28
pay_o-990048,2023-05-17 11:21:54
pay_o-990144,2023-05-17 12:53:37
pay_o-990135,2023-05-17 13:53:21
pay_o-990147,2023-05-17 15:07:22
pay_o-990124,2023-05-17 15:50:01
pay_o-990156,2023-05-17 16:04:49
pay_o-990081,2023-05-17 16:33:16
pay_o-990157,2023-05-17 17:08:11
pay_o-990116,2023-05-18 10:07:33
pay_o-990130,2023-05-18 11:42:52
pay_o-990125,2023-05-18 14:14:08
pay_o-990145,2023-05-18 17:17:14
pay_o-990151,2023-05-19 09:27:19
pay_o-990155,2023-05-19 10:26:40
pay_o-990168,2023-05-19 11:02:58
pay_o-990161,2023-05-19 11:32:48
pay_o-990154,2023-05-19 18:50:47
pay_o-990169,2023-05-19 22:22:46
pay_o-990149,2023-05-22 10:22:27
pay_o-990171,2023-05-22 10:24:48
pay_o-990136,2023-05-22 11:05:43
pay_o-990118,2023-05-22 14:44:06
pay_o-990141,2023-05-22 15:11:43
pay_o-990170,2023-05-22 15:51:42
pay_o-990178,2023-05-22 16:17:25
pay_o-990093,2023-05-22 16:44:03
pay_o-990162,2023-05-22 16:46:23
pay_o-990152,2023-05-22 18:43:53
pay_o-990166,2023-05-23 08:54:33
