ocel_id,ocel_time
reminder_o-990003_1,2023-04-25 15:27:08
reminder_o-990009_2,2023-04-26 10:12:38
reminder_o-990004_3,2023-04-26 15:26:08
reminder_o-990012_4,2023-04-27 10:03:35
reminder_o-990013_5,2023-04-27 15:19:53
reminder_o-990016_6,2023-05-01 09:30:24
reminder_o-990023_7,2023-05-03 11:26:39
reminder_o-990034_8,2023-05-09 13:54:50
reminder_o-990037_9,2023-05-09 15:03:35
reminder_o-990036_10,2023-05-09 15:35:19
reminder_o-990048_11,2023-05-15 14:34:04
reminder_o-990059_12,2023-05-21 13:15:45
reminder_o-990063_13,2023-05-22 09:26:36
reminder_o-990074_14,2023-05-23 09:08:02
reminder_o-990094_15,2023-05-25 16:02:54
reminder_o-990095_16,2023-05-25 16:35:31
reminder_o-990100_17,2023-05-28 12:16:47
reminder_o-990088_18,2023-05-28 13:44:21
reminder_o-990108_19,2023-05-29 10:21:45
reminder_o-990110_20,2023-05-29 11:42:46
reminder_o-990037_21,2023-05-29 15:03:35
reminder_o-990104_22,2023-05-30 11:26:39
reminder_o-990122_23,2023-05-31 10:56:13
reminder_o-990128_24,2023-05-31 14:51:25
reminder_o-990129_25,2023-05-31 15:35:09
reminder_o-990132_26,2023-06-01 11:03:43
reminder_o-990139_27,2023-06-04 10:03:56
reminder_o-990143_28,2023-06-05 09:28:11
reminder_o-990150_29,2023-06-05 09:35:42
reminder_o-990138_30,2023-06-05 12:17:18
reminder_o-990158_31,2023-06-06 10:58:46
reminder_o-990167_32,2023-06-07 10:51:41
reminder_o-990179_33,2023-06-08 14:53:00
reminder_o-990181_34,2023-06-11 09:29:24
reminder_o-990177_35,2023-06-11 09:40:44
reminder_o-990185_36,2023-06-11 11:00:44
reminder_o-990186_37,2023-06-11 16:30:28
reminder_o-990193_38,2023-06-12 10:15:37
reminder_o-990183_39,2023-06-13 12:30:53
reminder_o-990196_40,2023-06-13 12:44:27
reminder_o-990201_41,2023-06-13 15:08:13
reminder_o-990203_42,2023-06-13 16:57:40
reminder_o-990095_43,2023-06-14 16:35:31
reminder_o-990100_44,2023-06-17 12:16:47
reminder_o-990228_45,2023-06-18 10:44:52
reminder_o-990220_46,2023-06-18 15:20:49
reminder_o-990236_47,2023-06-19 12:20:26
reminder_o-990239_48,2023-06-19 17:15:54
reminder_o-990223_49,2023-06-19 17:30:52
reminder_o-990240_50,2023-06-19 18:03:34
reminder_o-990243_51,2023-06-20 11:35:18
reminder_o-990244_52,2023-06-20 13:07:20
reminder_o-990217_53,2023-06-20 14:07:52
reminder_o-990237_54,2023-06-20 16:11:23
reminder_o-990251_55,2023-06-21 10:37:30
reminder_o-990255_56,2023-06-21 21:51:53
reminder_o-990254_57,2023-06-22 15:08:27
reminder_o-990264_58,2023-06-25 10:56:31
reminder_o-990258_59,2023-06-26 09:13:50
reminder_o-990272_60,2023-06-26 10:01:48
reminder_o-990278_61,2023-06-26 12:48:46
reminder_o-990284_62,2023-06-27 08:29:25
reminder_o-990280_63,2023-06-27 11:36:43
reminder_o-990287_64,2023-06-27 15:53:37
reminder_o-990286_65,2023-06-28 13:13:24
reminder_o-990300_66,2023-06-29 11:11:08
reminder_o-990299_67,2023-06-29 12:27:32
reminder_o-990296_68,2023-06-29 15:17:45
reminder_o-990304_69,2023-06-29 15:38:35
reminder_o-990294_70,2023-07-02 09:58:14
reminder_o-990193_71,2023-07-02 10:15:37
reminder_o-990309_72,2023-07-02 12:23:51
reminder_o-990297_73,2023-07-02 15:21:08
reminder_o-990315_74,2023-07-02 15:40:30
reminder_o-990183_75,2023-07-03 12:30:53
reminder_o-990201_76,2023-07-03 15:08:13
reminder_o-990314_77,2023-07-03 15:34:15
reminder_o-990203_78,2023-07-03 16:57:40
reminder_o-990325_79,2023-07-03 20:41:52
reminder_o-990320_80,2023-07-04 10:31:12
reminder_o-990327_81,2023-07-04 11:09:05
reminder_o-990328_82,2023-07-04 11:42:38
reminder_o-990330_83,2023-07-04 16:58:13
reminder_o-990335_84,2023-07-05 11:11:44
reminder_o-990337_85,2023-07-05 16:03:34
reminder_o-990341_86,2023-07-06 11:39:00
reminder_o-990347_87,2023-07-09 09:22:38
reminder_o-990354_88,2023-07-09 10:35:39
reminder_o-990349_89,2023-07-09 11:31:45
reminder_o-990236_90,2023-07-09 12:20:26
reminder_o-990353_91,2023-07-09 12:59:57
reminder_o-990350_92,2023-07-09 14:13:41
reminder_o-990358_93,2023-07-09 17:21:38
reminder_o-990359_94,2023-07-10 11:36:19
