ocel_id,ocel_time
pick_i-880003,2023-04-03 13:21:49
pick_i-880001,2023-04-04 09:50:21
pick_i-880006,2023-04-04 10:01:31
pick_i-880020,2023-04-04 15:08:41
pick_i-880015,2023-04-04 15:54:23
pick_i-880002,2023-04-04 16:12:13
pick_i-880009,2023-04-04 16:57:22
pick_i-880021,2023-04-04 17:31:37
pick_i-880023,2023-04-05 09:43:34
pick_i-880025,2023-04-05 10:37:14
pick_i-880012,2023-04-05 11:03:07
pick_i-880032,2023-04-05 11:10:48
pick_i-880031,2023-04-05 11:20:35
pick_i-880011,2023-04-05 11:47:56
pick_i-880008,2023-04-05 12:35:22
pick_i-880030,2023-04-05 13:15:10
pick_i-880004,2023-04-05 14:53:49
pick_i-880029,2023-04-05 15:09:33
pick_i-880022,2023-04-05 15:20:58
pick_i-880013,2023-04-05 16:29:50
pick_i-880014,2023-04-05 19:08:54
pick_i-880039,2023-04-06 08:19:37
pick_i-880045,2023-04-06 09:32:12
pick_i-880047,2023-04-06 11:55:00
pick_i-880024,2023-04-06 12:01:11
pick_i-880019,2023-04-06 14:26:25
pick_i-880026,2023-04-06 16:22:52
pick_i-880005,2023-04-06 16:31:52
pick_i-880017,2023-04-06 17:21:18
pick_i-880041,2023-04-06 17:24:07
pick_i-880034,2023-04-06 17:55:10
pick_i-880054,2023-04-06 17:57:17
pick_i-880049,2023-04-07 08:49:13
pick_i-880042,2023-04-07 09:36:34
pick_i-880027,2023-04-07 10:42:42
pick_i-880038,2023-04-07 10:47:05
pick_i-880033,2023-04-07 14:03:44
pick_i-880055,2023-04-07 14:08:07
pick_i-880064,2023-04-07 14:13:13
pick_i-880043,2023-04-07 14:35:22
pick_i-880061,2023-04-07 15:17:32
pick_i-880040,2023-04-07 15:40:24
pick_i-880044,2023-04-07 16:02:42
pick_i-880056,2023-04-07 16:03:27
pick_i-880010,2023-04-07 16:44:23
pick_i-880048,2023-04-10 08:44:22
pick_i-880062,2023-04-10 09:00:46
pick_i-880070,2023-04-10 09:00:57
pick_i-880075,2023-04-10 11:53:35
pick_i-880051,2023-04-10 12:05:48
pick_i-880063,2023-04-10 14:39:52
pick_i-880057,2023-04-10 15:32:44
pick_i-880067,2023-04-10 15:54:41
pick_i-880037,2023-04-10 16:28:45
pick_i-880068,2023-04-10 17:20:00
pick_i-880073,2023-04-10 17:22:32
pick_i-880085,2023-04-11 08:46:06
pick_i-880060,2023-04-11 09:48:03
pick_i-880076,2023-04-11 10:09:38
pick_i-880028,2023-04-11 12:49:45
pick_i-880069,2023-04-11 13:45:01
pick_i-880082,2023-04-11 15:00:56
pick_i-880072,2023-04-11 15:16:50
pick_i-880053,2023-04-11 17:00:11
pick_i-880089,2023-04-11 17:13:11
pick_i-880086,2023-04-11 17:33:43
pick_i-880074,2023-04-12 09:52:12
pick_i-880071,2023-04-12 10:22:01
pick_i-880035,2023-04-12 11:42:21
pick_i-880065,2023-04-12 12:08:07
pick_i-880091,2023-04-12 15:08:06
pick_i-880080,2023-04-12 15:16:47
pick_i-880016,2023-04-12 15:59:22
pick_i-880087,2023-04-12 16:10:55
pick_i-880052,2023-04-12 16:26:03
pick_i-880097,2023-04-12 16:53:28
pick_i-880058,2023-04-12 17:39:55
pick_i-880103,2023-04-12 21:18:09
pick_i-880092,2023-04-13 08:36:14
pick_i-880077,2023-04-13 09:11:47
pick_i-880095,2023-04-13 10:40:03
pick_i-880106,2023-04-13 11:31:55
pick_i-880093,2023-04-13 13:22:27
pick_i-880094,2023-04-13 13:44:44
pick_i-880104,2023-04-13 14:18:36
pick_i-880109,2023-04-13 15:01:14
pick_i-880108,2023-04-13 15:01:36
pick_i-880078,2023-04-13 16:54:11
pick_i-880100,2023-04-14 09:41:21
pick_i-880101,2023-04-14 09:42:55
pick_i-880113,2023-04-14 10:37:52
pick_i-880107,2023-04-14 11:25:20
pick_i-880110,2023-04-14 12:44:27
pick_i-880088,2023-04-14 14:07:23
pick_i-880099,2023-04-14 15:28:30
pick_i-880122,2023-04-14 16:52:44
pick_i-880121,2023-04-14 17:11:51
pick_i-880098,2023-04-14 17:15:27
pick_i-880090,2023-04-17 08:49:09
pick_i-880119,2023-04-17 09:05:56
pick_i-880123,2023-04-17 09:20:27
pick_i-880050,2023-04-17 09:58:42
pick_i-880134,2023-04-17 10:48:00
pick_i-880125,2023-04-17 11:23:46
pick_i-880132,2023-04-17 11:40:50
pick_i-880059,2023-04-17 15:08:19
pick_i-880133,2023-04-17 15:15:22
pick_i-880083,2023-04-17 15:59:30
pick_i-880136,2023-04-17 16:48:24
pick_i-880118,2023-04-17 18:06:18
pick_i-880036,2023-04-18 11:24:18
pick_i-880066,2023-04-18 12:12:20
pick_i-880018,2023-04-18 14:25:52
pick_i-880139,2023-04-18 14:27:12
pick_i-880148,2023-04-18 14:51:54
pick_i-880143,2023-04-18 14:55:49
pick_i-880145,2023-04-18 15:39:04
pick_i-880105,2023-04-18 15:59:55
pick_i-880147,2023-04-18 17:30:06
pick_i-880140,2023-04-18 18:16:19
pick_i-880128,2023-04-19 08:57:36
pick_i-880127,2023-04-19 09:33:52
pick_i-880151,2023-04-19 10:10:10
pick_i-880150,2023-04-19 10:29:54
pick_i-880115,2023-04-19 10:38:33
