ocel_id,ocel_time
reorder_i-880016,2023-04-05 11:26:59
reorder_i-880010,2023-04-05 17:19:01
reorder_i-880033,2023-04-05 17:53:54
reorder_i-880034,2023-04-06 11:18:28
reorder_i-880035,2023-04-06 14:59:08
reorder_i-880018,2023-04-07 16:10:47
reorder_i-880046,2023-04-07 17:36:22
reorder_i-880036,2023-04-10 11:14:54
reorder_i-880007,2023-04-11 09:52:59
reorder_i-880050,2023-04-11 10:30:52
reorder_i-880084,2023-04-11 12:07:20
reorder_i-880074,2023-04-11 15:39:26
reorder_i-880065,2023-04-11 17:13:18
reorder_i-880081,2023-04-12 16:30:27
reorder_i-880066,2023-04-12 17:45:31
reorder_i-880078,2023-04-12 17:51:03
reorder_i-880096,2023-04-13 12:27:18
reorder_i-880111,2023-04-14 09:31:06
reorder_i-880083,2023-04-14 10:06:38
reorder_i-880079,2023-04-14 11:52:52
reorder_i-880105,2023-04-14 19:45:54
reorder_i-880114,2023-04-17 08:32:33
reorder_i-880112,2023-04-17 08:52:27
reorder_i-880135,2023-04-17 16:13:36
reorder_i-880102,2023-04-18 15:39:58
reorder_i-880116,2023-04-18 17:00:28
reorder_i-880141,2023-04-19 18:19:16
reorder_i-880131,2023-04-20 09:40:53
reorder_i-880152,2023-04-20 13:45:47
reorder_i-880172,2023-04-20 14:22:47
reorder_i-880186,2023-04-24 10:31:32
reorder_i-880175,2023-04-24 14:38:16
reorder_i-880170,2023-04-24 14:50:41
reorder_i-880157,2023-04-25 12:18:23
reorder_i-880177,2023-04-25 16:58:37
reorder_i-880198,2023-04-26 09:42:53
reorder_i-880153,2023-04-26 10:49:17
reorder_i-880164,2023-04-26 12:37:41
reorder_i-880190,2023-04-26 16:00:11
reorder_i-880197,2023-04-26 16:05:43
reorder_i-880166,2023-04-27 12:49:49
reorder_i-880224,2023-04-27 13:00:26
reorder_i-880203,2023-04-27 18:11:27
reorder_i-880230,2023-04-28 12:08:10
reorder_i-880202,2023-04-28 13:48:04
reorder_i-880209,2023-05-01 10:25:23
reorder_i-880229,2023-05-01 11:48:59
reorder_i-880247,2023-05-02 09:53:43
reorder_i-880244,2023-05-02 10:03:49
reorder_i-880239,2023-05-02 10:52:00
reorder_i-880260,2023-05-02 13:29:36
reorder_i-880278,2023-05-02 16:50:08
reorder_i-880293,2023-05-02 17:01:52
reorder_i-880256,2023-05-02 17:50:16
reorder_i-880320,2023-05-03 10:46:15
reorder_i-880261,2023-05-03 10:53:26
reorder_i-880272,2023-05-03 11:19:02
reorder_i-880263,2023-05-03 14:15:15
reorder_i-880303,2023-05-03 16:05:59
reorder_i-880289,2023-05-03 17:01:17
reorder_i-880236,2023-05-03 17:07:15
reorder_i-880276,2023-05-04 09:49:57
reorder_i-880254,2023-05-04 10:44:16
reorder_i-880342,2023-05-04 15:23:53
reorder_i-880313,2023-05-04 15:49:17
reorder_i-880343,2023-05-04 16:41:43
reorder_i-880262,2023-05-04 20:19:54
reorder_i-880323,2023-05-05 10:48:41
reorder_i-880338,2023-05-05 11:33:58
reorder_i-880330,2023-05-05 11:46:27
reorder_i-880226,2023-05-05 14:47:58
reorder_i-880288,2023-05-05 15:31:05
reorder_i-880399,2023-05-05 16:43:51
reorder_i-880360,2023-05-05 21:39:19
reorder_i-880377,2023-05-08 09:43:13
reorder_i-880373,2023-05-08 13:37:22
reorder_i-880369,2023-05-08 14:45:51
reorder_i-880395,2023-05-08 14:52:26
reorder_i-880346,2023-05-08 15:14:10
reorder_i-880361,2023-05-08 15:17:11
reorder_i-880424,2023-05-09 10:58:01
reorder_i-880380,2023-05-09 12:40:38
reorder_i-880279,2023-05-09 13:30:57
reorder_i-880464,2023-05-09 13:31:27
reorder_i-880398,2023-05-09 15:16:41
reorder_i-880334,2023-05-09 15:44:43
reorder_i-880375,2023-05-09 17:01:27
reorder_i-880451,2023-05-09 19:21:54
reorder_i-880409,2023-05-09 20:02:21
reorder_i-880367,2023-05-10 08:55:15
reorder_i-880351,2023-05-10 09:37:33
reorder_i-880435,2023-05-10 10:05:20
reorder_i-880408,2023-05-10 11:26:50
reorder_i-880487,2023-05-10 12:07:11
reorder_i-880455,2023-05-10 12:31:24
reorder_i-880470,2023-05-10 16:29:57
reorder_i-880415,2023-05-10 16:41:45
reorder_i-880447,2023-05-10 20:44:01
reorder_i-880463,2023-05-11 08:55:40
reorder_i-880414,2023-05-11 10:21:20
reorder_i-880452,2023-05-11 11:40:23
reorder_i-880381,2023-05-11 14:16:06
reorder_i-880488,2023-05-11 15:13:03
reorder_i-880513,2023-05-11 16:19:59
reorder_i-880523,2023-05-11 18:33:07
reorder_i-880526,2023-05-12 08:49:46
reorder_i-880385,2023-05-12 10:29:52
reorder_i-880433,2023-05-12 10:42:35
reorder_i-880489,2023-05-12 11:27:06
reorder_i-880504,2023-05-12 15:51:08
reorder_i-880348,2023-05-12 17:05:01
reorder_i-880554,2023-05-15 10:41:18
reorder_i-880469,2023-05-15 13:41:07
reorder_i-880529,2023-05-15 18:45:09
reorder_i-880588,2023-05-15 18:52:28
reorder_i-880587,2023-05-15 19:41:51
reorder_i-880552,2023-05-16 09:12:03
reorder_i-880583,2023-05-16 09:42:59
reorder_i-880484,2023-05-16 10:41:48
reorder_i-880593,2023-05-16 15:16:50
reorder_i-880581,2023-05-16 15:39:16
reorder_i-880578,2023-05-16 15:51:06
reorder_i-880434,2023-05-16 16:29:56
reorder_i-880599,2023-05-16 16:33:04
reorder_i-880536,2023-05-16 18:11:38
reorder_i-880430,2023-05-17 09:21:50
reorder_i-880625,2023-05-17 11:25:48
reorder_i-880545,2023-05-17 11:48:09
reorder_i-880579,2023-05-17 13:00:18
reorder_i-880539,2023-05-17 14:04:15
reorder_i-880632,2023-05-17 15:12:54
reorder_i-880627,2023-05-17 15:58:36
reorder_i-880533,2023-05-17 16:01:25
reorder_i-880635,2023-05-17 16:09:00
reorder_i-880516,2023-05-17 16:32:41
reorder_i-880618,2023-05-18 09:43:54
reorder_i-880498,2023-05-18 10:51:56
reorder_i-880666,2023-05-18 11:20:01
reorder_i-880626,2023-05-18 12:11:15
reorder_i-880503,2023-05-18 12:18:03
reorder_i-880644,2023-05-18 12:27:16
reorder_i-880629,2023-05-18 13:35:30
reorder_i-880662,2023-05-18 14:03:20
reorder_i-880534,2023-05-18 15:22:21
reorder_i-880636,2023-05-18 17:02:04
reorder_i-880672,2023-05-18 18:26:45
reorder_i-880664,2023-05-18 18:54:06
reorder_i-880680,2023-05-19 10:18:05
reorder_i-880568,2023-05-19 11:28:31
reorder_i-880585,2023-05-19 11:46:35
reorder_i-880584,2023-05-19 12:00:21
reorder_i-880494,2023-05-19 12:37:47
reorder_i-880560,2023-05-19 15:40:30
reorder_i-880714,2023-05-19 15:44:15
reorder_i-880703,2023-05-19 16:12:18
reorder_i-880702,2023-05-22 09:25:44
reorder_i-880601,2023-05-22 10:53:06
reorder_i-880655,2023-05-22 11:18:55
reorder_i-880738,2023-05-22 11:22:21
reorder_i-880760,2023-05-22 16:10:54
reorder_i-880712,2023-05-22 16:14:48
reorder_i-880715,2023-05-22 17:23:25
reorder_i-880591,2023-05-22 19:35:19
reorder_i-880695,2023-05-23 08:12:34
reorder_i-880693,2023-05-23 09:20:41
reorder_i-880785,2023-05-23 11:05:06
reorder_i-880570,2023-05-23 11:38:14
reorder_i-880687,2023-05-23 11:44:46
reorder_i-880775,2023-05-23 15:01:20
reorder_i-880751,2023-05-23 16:36:27
reorder_i-880805,2023-05-23 19:50:10
reorder_i-880779,2023-05-24 09:39:18
reorder_i-880776,2023-05-24 10:07:32
reorder_i-880673,2023-05-24 10:41:10
reorder_i-880753,2023-05-24 15:16:19
reorder_i-880830,2023-05-24 16:33:17
reorder_i-880766,2023-05-24 20:01:21
reorder_i-880761,2023-05-24 22:29:55
reorder_i-880786,2023-05-25 10:31:31
reorder_i-880832,2023-05-25 11:17:51
reorder_i-880800,2023-05-25 12:18:03
