ocel_id,ocel_time
send_p-660001,2023-04-10 10:40:42
send_p-660002,2023-04-12 16:34:48
send_p-660004,2023-04-13 08:05:53
send_p-660003,2023-04-13 12:50:06
send_p-660005,2023-04-13 15:57:03
send_p-660006,2023-04-17 10:38:41
send_p-660007,2023-04-17 16:21:13
send_p-660009,2023-04-18 10:44:34
send_p-660008,2023-04-18 16:45:22
send_p-660010,2023-04-18 17:30:41
send_p-660011,2023-04-19 13:55:14
send_p-660012,2023-04-20 15:45:41
send_p-660013,2023-04-20 16:22:40
send_p-660014,2023-04-24 08:17:24
send_p-660016,2023-04-24 12:31:08
send_p-660015,2023-04-24 14:03:52
send_p-660017,2023-04-24 19:50:53
send_p-660019,2023-04-25 14:51:47
send_p-660018,2023-04-25 15:42:59
send_p-660020,2023-04-26 20:43:43
send_p-660021,2023-04-27 13:40:30
send_p-660023,2023-04-28 15:56:19
send_p-660022,2023-04-28 16:21:56
send_p-660024,2023-05-01 11:03:08
send_p-660027,2023-05-02 16:58:46
send_p-660025,2023-05-02 17:22:11
send_p-660026,2023-05-03 10:03:43
send_p-660030,2023-05-03 15:23:28
send_p-660028,2023-05-03 15:33:17
send_p-660029,2023-05-03 18:27:58
send_p-660032,2023-05-04 11:11:36
send_p-660031,2023-05-04 14:40:06
send_p-660033,2023-05-04 15:21:18
send_p-660035,2023-05-04 17:11:11
send_p-660034,2023-05-05 10:25:36
send_p-660036,2023-05-05 12:42:16
send_p-660038,2023-05-05 17:43:26
send_p-660039,2023-05-05 19:37:43
send_p-660037,2023-05-08 10:28:27
send_p-660040,2023-05-08 16:15:20
send_p-660042,2023-05-09 10:20:27
send_p-660044,2023-05-09 14:58:51
send_p-660041,2023-05-09 15:23:27
send_p-660045,2023-05-09 16:05:34
send_p-660043,2023-05-10 08:28:20
send_p-660048,2023-05-10 11:15:03
send_p-660046,2023-05-10 12:02:15
send_p-660047,2023-05-10 14:41:43
send_p-660049,2023-05-11 09:01:00
send_p-660050,2023-05-11 09:51:11
send_p-660051,2023-05-11 12:43:15
send_p-660052,2023-05-11 16:19:29
send_p-660055,2023-05-12 12:52:22
send_p-660056,2023-05-12 14:09:42
send_p-660053,2023-05-12 15:49:29
send_p-660058,2023-05-12 16:35:44
send_p-660054,2023-05-15 11:02:16
send_p-660057,2023-05-15 13:23:32
send_p-660059,2023-05-15 14:54:30
send_p-660061,2023-05-15 16:04:03
send_p-660060,2023-05-15 16:44:51
send_p-660064,2023-05-16 10:08:56
send_p-660063,2023-05-16 10:11:54
send_p-660062,2023-05-16 11:24:20
send_p-660066,2023-05-16 12:58:32
send_p-660065,2023-05-16 14:33:40
send_p-660067,2023-05-16 15:02:05
send_p-660069,2023-05-17 09:24:36
send_p-660070,2023-05-17 11:30:53
send_p-660068,2023-05-17 16:15:51
send_p-660072,2023-05-17 16:44:38
send_p-660073,2023-05-17 17:37:42
send_p-660074,2023-05-18 10:24:39
send_p-660071,2023-05-18 11:04:43
send_p-660075,2023-05-19 08:45:09
send_p-660079,2023-05-19 10:01:03
send_p-660076,2023-05-19 10:51:59
send_p-660077,2023-05-19 10:52:10
send_p-660078,2023-05-19 10:59:19
send_p-660081,2023-05-19 12:55:55
send_p-660082,2023-05-19 14:50:03
send_p-660080,2023-05-19 15:43:48
send_p-660084,2023-05-22 14:41:37
send_p-660087,2023-05-22 17:55:39
send_p-660083,2023-05-23 10:08:55
send_p-660090,2023-05-23 10:26:27
send_p-660088,2023-05-23 13:17:11
send_p-660086,2023-05-23 14:05:42
send_p-660085,2023-05-23 14:47:39
send_p-660092,2023-05-23 16:03:04
send_p-660089,2023-05-24 10:18:09
send_p-660091,2023-05-24 10:50:04
send_p-660095,2023-05-24 11:24:15
send_p-660094,2023-05-24 12:02:10
send_p-660096,2023-05-24 12:30:22
send_p-660093,2023-05-24 16:15:33
send_p-660098,2023-05-25 10:48:47
send_p-660097,2023-05-25 11:24:45
send_p-660099,2023-05-25 11:56:02
send_p-660101,2023-05-25 17:17:28
send_p-660100,2023-05-26 10:43:25
send_p-660106,2023-05-26 14:47:03
send_p-660102,2023-05-26 17:54:23
send_p-660103,2023-05-26 18:33:50
send_p-660107,2023-05-29 10:34:55
send_p-660104,2023-05-29 10:43:40
send_p-660105,2023-05-29 12:40:04
send_p-660109,2023-05-29 17:10:57
send_p-660111,2023-05-29 18:03:12
send_p-660108,2023-05-29 22:21:36
send_p-660113,2023-05-30 08:33:00
send_p-660115,2023-05-30 11:04:15
send_p-660112,2023-05-30 11:20:59
send_p-660110,2023-05-30 11:34:05
send_p-660114,2023-05-30 12:14:11
send_p-660117,2023-05-30 14:30:53
send_p-660116,2023-05-30 15:57:52
send_p-660119,2023-05-30 16:21:25
send_p-660120,2023-05-31 09:37:13
send_p-660121,2023-05-31 12:46:35
send_p-660118,2023-05-31 13:19:15
send_p-660124,2023-05-31 19:07:55
send_p-660123,2023-06-01 09:18:47
send_p-660128,2023-06-01 10:39:03
send_p-660127,2023-06-01 10:58:54
send_p-660122,2023-06-01 11:24:08
send_p-660129,2023-06-01 13:14:52
send_p-660125,2023-06-01 14:48:07
send_p-660126,2023-06-01 15:09:05
send_p-660131,2023-06-01 15:49:28
send_p-660132,2023-06-01 17:25:13
send_p-660130,2023-06-01 18:32:55
send_p-660133,2023-06-02 09:40:19
send_p-660135,2023-06-02 17:14:24
send_p-660134,2023-06-02 20:43:20
send_p-660136,2023-06-05 10:27:02
send_p-660137,2023-06-05 11:36:13
send_p-660138,2023-06-05 15:15:59
send_p-660139,2023-06-05 17:11:30
send_p-660140,2023-06-05 18:17:58
send_p-660141,2023-06-06 15:41:19
send_p-660143,2023-06-06 17:13:30
send_p-660142,2023-06-06 19:08:23
send_p-660144,2023-06-07 14:01:41
send_p-660145,2023-06-07 16:09:42
send_p-660146,2023-06-07 17:40:00
send_p-660147,2023-06-07 19:05:04
send_p-660149,2023-06-08 11:12:59
send_p-660148,2023-06-08 11:30:52
send_p-660150,2023-06-08 13:20:25
send_p-660151,2023-06-08 14:35:37
send_p-660153,2023-06-09 09:45:17
send_p-660152,2023-06-09 11:18:19
send_p-660155,2023-06-09 12:43:32
send_p-660156,2023-06-09 15:58:04
