ocel_source_id,ocel_target_id,ocel_qualifier
AlpenTech Innovations AG,Istvan Koren,secondarySalesRep
AlpenTech Innovations AG,Wil van der Aalst,primarySalesRep
AlpenTech Innovations AG,o-990001,places
AlpenTech Innovations AG,o-990002,places
AlpenTech Innovations AG,o-990005,places
AlpenTech Innovations AG,o-990008,places
AlpenTech Innovations AG,o-990018,places
AlpenTech Innovations AG,o-990029,places
AlpenTech Innovations AG,o-990043,places
AlpenTech Innovations AG,o-990055,places
AlpenTech Innovations AG,o-990076,places
AlpenTech Innovations AG,o-990104,places
AlpenTech Innovations AG,o-990133,places
AlpenTech Innovations AG,o-990134,places
AlpenTech Innovations AG,o-990154,places
AlpenTech Innovations AG,o-990175,places
AlpenTech Innovations AG,o-990183,places
AlpenTech Innovations AG,o-990200,places
AlpenTech Innovations AG,o-990201,places
AlpenTech Innovations AG,o-990222,places
AlpenTech Innovations AG,o-990228,places
AlpenTech Innovations AG,o-990248,places
AlpenTech Innovations AG,o-990258,places
AlpenTech Innovations AG,o-990261,places
AlpenTech Innovations AG,o-990284,places
AlpenTech Innovations AG,o-990290,places
AlpenTech Innovations AG,o-990333,places
AlpenTech Innovations AG,o-990357,places
AlpenTech Innovations AG,o-990399,places
AlpenTech Innovations AG,o-990424,places
AlpenTech Innovations AG,o-990463,places
AlpenTech Innovations AG,o-990470,places
AlpenTech Innovations AG,o-990510,places
AlpenTech Innovations AG,o-990523,places
AlpenTech Innovations AG,o-990543,places
AlpenTech Innovations AG,o-990570,places
AlpenTech Innovations AG,o-990606,places
AlpenTech Innovations AG,o-990630,places
AlpenTech Innovations AG,o-990632,places
AlpenTech Innovations AG,o-990649,places
AlpenTech Innovations AG,o-990657,places
AlpenTech Innovations AG,o-990658,places
AlpenTech Innovations AG,o-990667,places
AlpenTech Innovations AG,o-990668,places
AlpenTech Innovations AG,o-990674,places
AlpenTech Innovations AG,o-990682,places
AlpenTech Innovations AG,o-990694,places
AlpenTech Innovations AG,o-990695,places
AlpenTech Innovations AG,o-990708,places
AlpenTech Innovations AG,o-990714,places
AlpenTech Innovations AG,o-990754,places
AlpenTech Innovations AG,o-990757,places
AlpenTech Innovations AG,o-990763,places
AlpenTech Innovations AG,o-990764,places
AlpenTech Innovations AG,o-990785,places
AlpenTech Innovations AG,o-990791,places
AlpenTech Innovations AG,o-990807,places
AlpenTech Innovations AG,o-990810,places
AlpenTech Innovations AG,o-990812,places
AlpenTech Innovations AG,o-990820,places
AlpenTech Innovations AG,o-990827,places
AlpenTech Innovations AG,o-990831,places
AlpenTech Innovations AG,o-990888,places
AlpenTech Innovations AG,o-990910,places
AlpenTech Innovations AG,o-990943,places
AlpenTech Innovations AG,o-990950,places
AlpenTech Innovations AG,o-990986,places
AlpenTech Innovations AG,o-990993,places
AlpenTech Innovations AG,o-990998,places
AlpenTech Innovations AG,o-991002,places
AlpenTech Innovations AG,o-991008,places
AlpenTech Innovations AG,o-991027,places
AlpenTech Innovations AG,o-991072,places
AlpenTech Innovations AG,o-991076,places
AlpenTech Innovations AG,o-991128,places
AlpenTech Innovations AG,o-991141,places
AlpenTech Innovations AG,o-991149,places
AlpenTech Innovations AG,o-991178,places
AlpenTech Innovations AG,o-991184,places
AlpenTech Innovations AG,o-991197,places
AlpenTech Innovations AG,o-991201,places
AlpenTech Innovations AG,o-991229,places
AlpenTech Innovations AG,o-991234,places
AlpenTech Innovations AG,o-991263,places
AlpenTech Innovations AG,o-991277,places
AlpenTech Innovations AG,o-991288,places
AlpenTech Innovations AG,o-991289,places
AlpenTech Innovations AG,o-991293,places
AlpenTech Innovations AG,o-991300,places
AlpenTech Innovations AG,o-991316,places
AlpenTech Innovations AG,o-991340,places
AlpenTech Innovations AG,o-991380,places
AlpenTech Innovations AG,o-991404,places
AlpenTech Innovations AG,o-991433,places
AlpenTech Innovations AG,o-991443,places
AlpenTech Innovations AG,o-991495,places
AlpenTech Innovations AG,o-991501,places
AlpenTech Innovations AG,o-991502,places
AlpenTech Innovations AG,o-991514,places
AlpenTech Innovations AG,o-991540,places
AlpenTech Innovations AG,o-991552,places
AlpenTech Innovations AG,o-991553,places
AlpenTech Innovations AG,o-991564,places
AlpenTech Innovations AG,o-991609,places
AlpenTech Innovations AG,o-991615,places
AlpenTech Innovations AG,o-991628,places
AlpenTech Innovations AG,o-991655,places
AlpenTech Innovations AG,o-991691,places
AlpenTech Innovations AG,o-991700,places
AlpenTech Innovations AG,o-991731,places
AlpenTech Innovations AG,o-991753,places
AlpenTech Innovations AG,o-991776,places
AlpenTech Innovations AG,o-991810,places
AlpenTech Innovations AG,o-991838,places
AlpenTech Innovations AG,o-991863,places
AlpenTech Innovations AG,o-991894,places
AlpenTech Innovations AG,o-991907,places
AlpenTech Innovations AG,o-991917,places
AlpenTech Innovations AG,o-991927,places
AlpenTech Innovations AG,o-991940,places
AlpenTech Innovations AG,o-991956,places
AlpenTech Innovations AG,o-991957,places
AlpenTech Innovations AG,o-991964,places
Balkan Minerals d.o.o.,Christine von Dobbert,primarySalesRep
Balkan Minerals d.o.o.,Mara Nitschke,secondarySalesRep
Balkan Minerals d.o.o.,o-990006,places
Balkan Minerals d.o.o.,o-990037,places
Balkan Minerals d.o.o.,o-990054,places
Balkan Minerals d.o.o.,o-990072,places
Balkan Minerals d.o.o.,o-990074,places
Balkan Minerals d.o.o.,o-990075,places
Balkan Minerals d.o.o.,o-990089,places
Balkan Minerals d.o.o.,o-990095,places
Balkan Minerals d.o.o.,o-990099,places
Balkan Minerals d.o.o.,o-990101,places
Balkan Minerals d.o.o.,o-990108,places
Balkan Minerals d.o.o.,o-990113,places
Balkan Minerals d.o.o.,o-990120,places
Balkan Minerals d.o.o.,o-990122,places
Balkan Minerals d.o.o.,o-990194,places
Balkan Minerals d.o.o.,o-990254,places
Balkan Minerals d.o.o.,o-990338,places
Balkan Minerals d.o.o.,o-990348,places
Balkan Minerals d.o.o.,o-990390,places
Balkan Minerals d.o.o.,o-990392,places
Balkan Minerals d.o.o.,o-990469,places
Balkan Minerals d.o.o.,o-990488,places
Balkan Minerals d.o.o.,o-990489,places
Balkan Minerals d.o.o.,o-990495,places
Balkan Minerals d.o.o.,o-990503,places
Balkan Minerals d.o.o.,o-990517,places
Balkan Minerals d.o.o.,o-990519,places
Balkan Minerals d.o.o.,o-990527,places
Balkan Minerals d.o.o.,o-990528,places
Balkan Minerals d.o.o.,o-990532,places
Balkan Minerals d.o.o.,o-990538,places
Balkan Minerals d.o.o.,o-990571,places
Balkan Minerals d.o.o.,o-990588,places
Balkan Minerals d.o.o.,o-990594,places
Balkan Minerals d.o.o.,o-990617,places
Balkan Minerals d.o.o.,o-990618,places
Balkan Minerals d.o.o.,o-990641,places
Balkan Minerals d.o.o.,o-990662,places
Balkan Minerals d.o.o.,o-990680,places
Balkan Minerals d.o.o.,o-990718,places
Balkan Minerals d.o.o.,o-990720,places
Balkan Minerals d.o.o.,o-990733,places
Balkan Minerals d.o.o.,o-990746,places
Balkan Minerals d.o.o.,o-990748,places
Balkan Minerals d.o.o.,o-990762,places
Balkan Minerals d.o.o.,o-990790,places
Balkan Minerals d.o.o.,o-990800,places
Balkan Minerals d.o.o.,o-990814,places
Balkan Minerals d.o.o.,o-990830,places
Balkan Minerals d.o.o.,o-990837,places
Balkan Minerals d.o.o.,o-990869,places
Balkan Minerals d.o.o.,o-990875,places
Balkan Minerals d.o.o.,o-990880,places
Balkan Minerals d.o.o.,o-990894,places
Balkan Minerals d.o.o.,o-990902,places
Balkan Minerals d.o.o.,o-990903,places
Balkan Minerals d.o.o.,o-990914,places
Balkan Minerals d.o.o.,o-990929,places
Balkan Minerals d.o.o.,o-990946,places
Balkan Minerals d.o.o.,o-990960,places
Balkan Minerals d.o.o.,o-990967,places
Balkan Minerals d.o.o.,o-990979,places
Balkan Minerals d.o.o.,o-990990,places
Balkan Minerals d.o.o.,o-990995,places
Balkan Minerals d.o.o.,o-991003,places
Balkan Minerals d.o.o.,o-991009,places
Balkan Minerals d.o.o.,o-991040,places
Balkan Minerals d.o.o.,o-991054,places
Balkan Minerals d.o.o.,o-991067,places
Balkan Minerals d.o.o.,o-991094,places
Balkan Minerals d.o.o.,o-991096,places
Balkan Minerals d.o.o.,o-991109,places
Balkan Minerals d.o.o.,o-991117,places
Balkan Minerals d.o.o.,o-991123,places
Balkan Minerals d.o.o.,o-991132,places
Balkan Minerals d.o.o.,o-991172,places
Balkan Minerals d.o.o.,o-991181,places
Balkan Minerals d.o.o.,o-991182,places
Balkan Minerals d.o.o.,o-991202,places
Balkan Minerals d.o.o.,o-991208,places
Balkan Minerals d.o.o.,o-991211,places
Balkan Minerals d.o.o.,o-991253,places
Balkan Minerals d.o.o.,o-991259,places
Balkan Minerals d.o.o.,o-991262,places
Balkan Minerals d.o.o.,o-991267,places
Balkan Minerals d.o.o.,o-991295,places
Balkan Minerals d.o.o.,o-991304,places
Balkan Minerals d.o.o.,o-991309,places
Balkan Minerals d.o.o.,o-991312,places
Balkan Minerals d.o.o.,o-991313,places
Balkan Minerals d.o.o.,o-991315,places
Balkan Minerals d.o.o.,o-991318,places
Balkan Minerals d.o.o.,o-991319,places
Balkan Minerals d.o.o.,o-991321,places
Balkan Minerals d.o.o.,o-991336,places
Balkan Minerals d.o.o.,o-991346,places
Balkan Minerals d.o.o.,o-991349,places
Balkan Minerals d.o.o.,o-991350,places
Balkan Minerals d.o.o.,o-991353,places
Balkan Minerals d.o.o.,o-991354,places
Balkan Minerals d.o.o.,o-991378,places
Balkan Minerals d.o.o.,o-991387,places
Balkan Minerals d.o.o.,o-991407,places
Balkan Minerals d.o.o.,o-991418,places
Balkan Minerals d.o.o.,o-991423,places
Balkan Minerals d.o.o.,o-991442,places
Balkan Minerals d.o.o.,o-991475,places
Balkan Minerals d.o.o.,o-991521,places
Balkan Minerals d.o.o.,o-991528,places
Balkan Minerals d.o.o.,o-991529,places
Balkan Minerals d.o.o.,o-991538,places
Balkan Minerals d.o.o.,o-991556,places
Balkan Minerals d.o.o.,o-991571,places
Balkan Minerals d.o.o.,o-991572,places
Balkan Minerals d.o.o.,o-991576,places
Balkan Minerals d.o.o.,o-991577,places
Balkan Minerals d.o.o.,o-991585,places
Balkan Minerals d.o.o.,o-991603,places
Balkan Minerals d.o.o.,o-991608,places
Balkan Minerals d.o.o.,o-991613,places
Balkan Minerals d.o.o.,o-991621,places
Balkan Minerals d.o.o.,o-991633,places
Balkan Minerals d.o.o.,o-991639,places
Balkan Minerals d.o.o.,o-991641,places
Balkan Minerals d.o.o.,o-991674,places
Balkan Minerals d.o.o.,o-991679,places
Balkan Minerals d.o.o.,o-991703,places
Balkan Minerals d.o.o.,o-991710,places
Balkan Minerals d.o.o.,o-991714,places
Balkan Minerals d.o.o.,o-991722,places
Balkan Minerals d.o.o.,o-991725,places
Balkan Minerals d.o.o.,o-991764,places
Balkan Minerals d.o.o.,o-991806,places
Balkan Minerals d.o.o.,o-991816,places
Balkan Minerals d.o.o.,o-991821,places
Balkan Minerals d.o.o.,o-991829,places
Balkan Minerals d.o.o.,o-991841,places
Balkan Minerals d.o.o.,o-991846,places
Balkan Minerals d.o.o.,o-991864,places
Balkan Minerals d.o.o.,o-991887,places
Balkan Minerals d.o.o.,o-991891,places
Balkan Minerals d.o.o.,o-991896,places
Balkan Minerals d.o.o.,o-991908,places
Balkan Minerals d.o.o.,o-991938,places
Balkan Minerals d.o.o.,o-991948,places
Balkan Minerals d.o.o.,o-991974,places
Baltic Wave Energies Ltd.,Christine von Dobbert,secondarySalesRep
Baltic Wave Energies Ltd.,Wil van der Aalst,primarySalesRep
Baltic Wave Energies Ltd.,o-990004,places
Baltic Wave Energies Ltd.,o-990038,places
Baltic Wave Energies Ltd.,o-990053,places
Baltic Wave Energies Ltd.,o-990065,places
Baltic Wave Energies Ltd.,o-990083,places
Baltic Wave Energies Ltd.,o-990094,places
Baltic Wave Energies Ltd.,o-990103,places
Baltic Wave Energies Ltd.,o-990107,places
Baltic Wave Energies Ltd.,o-990111,places
Baltic Wave Energies Ltd.,o-990146,places
Baltic Wave Energies Ltd.,o-990164,places
Baltic Wave Energies Ltd.,o-990195,places
