ocel_id,ocel_type
place_o-990001,place order
pick_i-880003,pick item
place_o-990002,place order
place_o-990003,place order
pick_i-880001,pick item
pick_i-880006,pick item
place_o-990004,place order
pick_i-880020,pick item
out_of_stock_i-880016,item out of stock
pick_i-880015,pick item
confirm_o-990002,confirm order
pick_i-880002,pick item
confirm_o-990001,confirm order
pick_i-880009,pick item
place_o-990005,place order
pick_i-880021,pick item
confirm_o-990005,confirm order
place_o-990006,place order
pick_i-880023,pick item
pick_i-880025,pick item
pick_i-880012,pick item
pick_i-880032,pick item
pick_i-880031,pick item
reorder_i-880016,reorder item
confirm_o-990006,confirm order
pick_i-880011,pick item
pick_i-880008,pick item
place_o-990007,place order
pick_i-880030,pick item
out_of_stock_i-880036,item out of stock
out_of_stock_i-880018,item out of stock
out_of_stock_i-880010,item out of stock
pick_i-880004,pick item
pick_i-880029,pick item
pick_i-880022,pick item
confirm_o-990003,confirm order
pick_i-880013,pick item
out_of_stock_i-880033,item out of stock
reorder_i-880010,reorder item
pay_o-990005,pay order
place_o-990008,place order
pay_o-990001,pay order
reorder_i-880033,reorder item
confirm_o-990007,confirm order
pick_i-880014,pick item
place_o-990009,place order
pick_i-880039,pick item
confirm_o-990008,confirm order
pick_i-880045,pick item
out_of_stock_i-880034,item out of stock
confirm_o-990009,confirm order
out_of_stock_i-880035,item out of stock
reorder_i-880034,reorder item
pick_i-880047,pick item
pick_i-880024,pick item
place_o-990010,place order
out_of_stock_i-880007,item out of stock
pick_i-880019,pick item
reorder_i-880035,reorder item
confirm_o-990004,confirm order
pick_i-880026,pick item
pay_o-990008,pay order
confirm_o-990010,confirm order
pick_i-880005,pick item
pick_i-880017,pick item
pick_i-880041,pick item
place_o-990011,place order
pick_i-880034,pick item
pick_i-880054,pick item
pick_i-880049,pick item
place_o-990012,place order
pick_i-880042,pick item
confirm_o-990012,confirm order
pick_i-880027,pick item
pick_i-880038,pick item
pay_o-990007,pay order
pick_i-880033,pick item
pick_i-880055,pick item
place_o-990013,place order
pick_i-880064,pick item
pick_i-880043,pick item
out_of_stock_i-880046,item out of stock
pick_i-880061,pick item
confirm_o-990013,confirm order
pick_i-880040,pick item
pick_i-880044,pick item
pick_i-880056,pick item
reorder_i-880018,reorder item
pick_i-880010,pick item
reorder_i-880046,reorder item
place_o-990014,place order
create_p-660001,create package
place_o-990015,place order
pick_i-880048,pick item
pick_i-880062,pick item
pick_i-880070,pick item
send_p-660001,send package
out_of_stock_i-880050,item out of stock
reorder_i-880036,reorder item
place_o-990016,place order
pick_i-880075,pick item
pick_i-880051,pick item
pay_o-990002,pay order
pick_i-880063,pick item
pick_i-880057,pick item
pick_i-880067,pick item
pick_i-880037,pick item
place_o-990017,place order
pick_i-880068,pick item
pick_i-880073,pick item
confirm_o-990014,confirm order
confirm_o-990017,confirm order
confirm_o-990011,confirm order
place_o-990018,place order
pay_o-990014,pay order
pick_i-880085,pick item
confirm_o-990018,confirm order
out_of_stock_i-880081,item out of stock
confirm_o-990016,confirm order
pick_i-880060,pick item
reorder_i-880007,reorder item
pick_i-880076,pick item
out_of_stock_i-880084,item out of stock
reorder_i-880050,reorder item
out_of_stock_i-880065,item out of stock
confirm_o-990015,confirm order
deliver_p-660001,package delivered
out_of_stock_i-880078,item out of stock
reorder_i-880084,reorder item
place_o-990019,place order
pick_i-880028,pick item
pick_i-880069,pick item
out_of_stock_i-880074,item out of stock
pick_i-880082,pick item
pick_i-880072,pick item
reorder_i-880074,reorder item
out_of_stock_i-880083,item out of stock
pick_i-880053,pick item
place_o-990020,place order
pick_i-880089,pick item
reorder_i-880065,reorder item
pick_i-880086,pick item
place_o-990021,place order
confirm_o-990019,confirm order
out_of_stock_i-880066,item out of stock
pick_i-880074,pick item
create_p-660002,create package
pick_i-880071,pick item
out_of_stock_i-880096,item out of stock
pick_i-880035,pick item
confirm_o-990021,confirm order
pick_i-880065,pick item
place_o-990022,place order
confirm_o-990020,confirm order
pick_i-880091,pick item
pick_i-880080,pick item
pay_o-990006,pay order
pay_o-990015,pay order
pick_i-880016,pick item
create_p-660003,create package
pick_i-880087,pick item
pick_i-880052,pick item
reorder_i-880081,reorder item
send_p-660002,send package
pick_i-880097,pick item
pick_i-880058,pick item
reorder_i-880066,reorder item
reorder_i-880078,reorder item
place_o-990023,place order
pay_o-990011,pay order
pick_i-880103,pick item
create_p-660004,create package
send_p-660004,send package
deliver_p-660004,package delivered
pick_i-880092,pick item
place_o-990024,place order
pick_i-880077,pick item
pick_i-880095,pick item
confirm_o-990022,confirm order
confirm_o-990023,confirm order
pick_i-880106,pick item
out_of_stock_i-880079,item out of stock
reorder_i-880096,reorder item
send_p-660003,send package
pick_i-880093,pick item
place_o-990025,place order
pick_i-880094,pick item
pick_i-880104,pick item
pick_i-880109,pick item
pick_i-880108,pick item
create_p-660005,create package
deliver_p-660002,package delivered
send_p-660005,send package
confirm_o-990025,confirm order
pick_i-880078,pick item
out_of_stock_i-880111,item out of stock
deliver_p-660003,package delivered
pay_o-990021,pay order
out_of_stock_i-880105,item out of stock
place_o-990026,place order
deliver_p-660005,package delivered
pay_o-990017,pay order
out_of_stock_i-880112,item out of stock
out_of_stock_i-880114,item out of stock
reorder_i-880111,reorder item
pick_i-880100,pick item
pick_i-880101,pick item
pay_o-990025,pay order
reorder_i-880083,reorder item
place_o-990027,place order
pay_o-990018,pay order
pick_i-880113,pick item
confirm_o-990026,confirm order
confirm_o-990024,confirm order
pick_i-880107,pick item
reorder_i-880079,reorder item
pick_i-880110,pick item
pick_i-880088,pick item
place_o-990028,place order
pick_i-880099,pick item
pick_i-880122,pick item
create_p-660006,create package
pick_i-880121,pick item
pick_i-880098,pick item
reorder_i-880105,reorder item
place_o-990029,place order
place_o-990030,place order
reorder_i-880114,reorder item
pick_i-880090,pick item
reorder_i-880112,reorder item
pick_i-880119,pick item
confirm_o-990030,confirm order
pick_i-880123,pick item
pick_i-880050,pick item
create_p-660007,create package
confirm_o-990027,confirm order
confirm_o-990029,confirm order
send_p-660006,send package
pick_i-880134,pick item
pay_o-990020,pay order
pick_i-880125,pick item
pick_i-880132,pick item
place_o-990031,place order
pay_o-990027,pay order
out_of_stock_i-880135,item out of stock
out_of_stock_i-880102,item out of stock
pick_i-880059,pick item
pick_i-880133,pick item
create_p-660008,create package
pick_i-880083,pick item
fail_p-660006_1,failed delivery
reorder_i-880135,reorder item
send_p-660007,send package
pick_i-880136,pick item
place_o-990032,place order
out_of_stock_i-880116,item out of stock
pick_i-880118,pick item
confirm_o-990028,confirm order
create_p-660009,create package
place_o-990033,place order
deliver_p-660007,package delivered
send_p-660009,send package
confirm_o-990033,confirm order
pick_i-880036,pick item
pick_i-880066,pick item
place_o-990034,place order
pick_i-880018,pick item
pick_i-880139,pick item
pick_i-880148,pick item
pick_i-880143,pick item
deliver_p-660006,package delivered
pick_i-880145,pick item
pay_o-990019,pay order
reorder_i-880102,reorder item
pick_i-880105,pick item
confirm_o-990031,confirm order
pay_o-990010,pay order
send_p-660008,send package
reorder_i-880116,reorder item
pick_i-880147,pick item
create_p-660010,create package
send_p-660010,send package
place_o-990035,place order
pick_i-880140,pick item
deliver_p-660008,package delivered
pick_i-880128,pick item
place_o-990036,place order
pick_i-880127,pick item
pay_o-990030,pay order
pick_i-880151,pick item
deliver_p-660009,package delivered
pick_i-880150,pick item
pick_i-880115,pick item
pick_i-880120,pick item
pick_i-880046,pick item
pick_i-880117,pick item
pick_i-880138,pick item
create_p-660011,create package
pick_i-880155,pick item
deliver_p-660010,package delivered
pick_i-880146,pick item
pick_i-880130,pick item
pick_i-880149,pick item
place_o-990037,place order
confirm_o-990035,confirm order
confirm_o-990034,confirm order
send_p-660011,send package
pick_i-880007,pick item
pick_i-880158,pick item
confirm_o-990037,confirm order
confirm_o-990036,confirm order
pay_o-990035,pay order
pick_i-880102,pick item
pick_i-880154,pick item
out_of_stock_i-880152,item out of stock
out_of_stock_i-880141,item out of stock
pick_i-880162,pick item
pick_i-880161,pick item
out_of_stock_i-880131,item out of stock
place_o-990038,place order
reorder_i-880141,reorder item
out_of_stock_i-880164,item out of stock
confirm_o-990032,confirm order
out_of_stock_i-880153,item out of stock
place_o-990039,place order
reorder_i-880131,reorder item
pick_i-880126,pick item
pick_i-880124,pick item
pick_i-880142,pick item
create_p-660012,create package
out_of_stock_i-880172,item out of stock
pick_i-880171,pick item
pick_i-880169,pick item
pick_i-880144,pick item
pick_i-880156,pick item
pick_i-880081,pick item
deliver_p-660011,package delivered
pick_i-880129,pick item
reorder_i-880152,reorder item
place_o-990040,place order
reorder_i-880172,reorder item
pick_i-880112,pick item
create_p-660013,create package
confirm_o-990039,confirm order
send_p-660012,send package
send_p-660013,send package
out_of_stock_i-880166,item out of stock
pick_i-880173,pick item
place_o-990041,place order
pick_i-880174,pick item
pick_i-880084,pick item
fail_p-660013_2,failed delivery
pick_i-880178,pick item
pay_o-990022,pay order
pick_i-880180,pick item
deliver_p-660012,package delivered
place_o-990042,place order
confirm_o-990041,confirm order
fail_p-660013_3,failed delivery
pay_o-990033,pay order
pick_i-880179,pick item
pick_i-880187,pick item
out_of_stock_i-880170,item out of stock
pick_i-880182,pick item
out_of_stock_i-880186,item out of stock
confirm_o-990038,confirm order
pay_o-990024,pay order
pick_i-880160,pick item
place_o-990043,place order
pick_i-880185,pick item
pay_o-990032,pay order
out_of_stock_i-880175,item out of stock
pick_i-880159,pick item
confirm_o-990042,confirm order
pick_i-880184,pick item
deliver_p-660013,package delivered
out_of_stock_i-880157,item out of stock
place_o-990044,place order
create_p-660014,create package
place_o-990045,place order
send_p-660014,send package
confirm_o-990043,confirm order
pick_i-880181,pick item
pick_i-880163,pick item
pick_i-880194,pick item
create_p-660015,create package
reorder_i-880186,reorder item
confirm_o-990045,confirm order
deliver_p-660014,package delivered
pick_i-880195,pick item
pick_i-880096,pick item
pick_i-880192,pick item
pick_i-880168,pick item
create_p-660016,create package
send_p-660016,send package
place_o-990046,place order
pick_i-880137,pick item
confirm_o-990044,confirm order
send_p-660015,send package
reorder_i-880175,reorder item
reorder_i-880170,reorder item
pick_i-880193,pick item
out_of_stock_i-880177,item out of stock
pick_i-880079,pick item
create_p-660017,create package
pick_i-880167,pick item
deliver_p-660016,package delivered
place_o-990047,place order
pay_o-990039,pay order
send_p-660017,send package
deliver_p-660015,package delivered
confirm_o-990047,confirm order
pick_i-880172,pick item
pick_i-880165,pick item
place_o-990048,place order
pick_i-880116,pick item
create_p-660018,create package
pick_i-880199,pick item
pick_i-880208,pick item
create_p-660019,create package
reorder_i-880157,reorder item
out_of_stock_i-880203,item out of stock
pick_i-880176,pick item
pick_i-880204,pick item
out_of_stock_i-880198,item out of stock
pick_i-880207,pick item
place_o-990049,place order
confirm_o-990048,confirm order
send_p-660019,send package
reminder_o-990003_1,payment reminder
pick_i-880211,pick item
send_p-660018,send package
deliver_p-660017,package delivered
pick_i-880205,pick item
pick_i-880196,pick item
reorder_i-880177,reorder item
pick_i-880189,pick item
pick_i-880111,pick item
out_of_stock_i-880197,item out of stock
deliver_p-660019,package delivered
place_o-990050,place order
pick_i-880188,pick item
reorder_i-880198,reorder item
pick_i-880218,pick item
pick_i-880200,pick item
reminder_o-990009_2,payment reminder
place_o-990051,place order
reorder_i-880153,reorder item
deliver_p-660018,package delivered
pick_i-880191,pick item
confirm_o-990050,confirm order
pick_i-880221,pick item
reorder_i-880164,reorder item
pick_i-880210,pick item
confirm_o-990046,confirm order
pick_i-880201,pick item
out_of_stock_i-880190,item out of stock
pay_o-990047,pay order
reminder_o-990004_3,payment reminder
pay_o-990028,pay order
place_o-990052,place order
reorder_i-880190,reorder item
pay_o-990050,pay order
reorder_i-880197,reorder item
pick_i-880217,pick item
create_p-660020,create package
confirm_o-990051,confirm order
pick_i-880183,pick item
pick_i-880216,pick item
pick_i-880215,pick item
pick_i-880213,pick item
pick_i-880223,pick item
create_p-660021,create package
send_p-660020,send package
place_o-990053,place order
deliver_p-660020,package delivered
confirm_o-990053,confirm order
pick_i-880190,pick item
reminder_o-990012_4,payment reminder
out_of_stock_i-880224,item out of stock
confirm_o-990049,confirm order
place_o-990054,place order
pick_i-880233,pick item
out_of_stock_i-880209,item out of stock
out_of_stock_i-880202,item out of stock
reorder_i-880166,reorder item
pay_o-990044,pay order
reorder_i-880224,reorder item
send_p-660021,send package
pick_i-880152,pick item
pick_i-880141,pick item
reminder_o-990013_5,payment reminder
pay_o-990029,pay order
pay_o-990009,pay order
place_o-990055,place order
pick_i-880186,pick item
create_p-660022,create package
out_of_stock_i-880230,item out of stock
confirm_o-990052,confirm order
pick_i-880232,pick item
reorder_i-880203,reorder item
out_of_stock_i-880239,item out of stock
pay_o-990031,pay order
create_p-660023,create package
place_o-990056,place order
pay_o-990045,pay order
pay_o-990026,pay order
pay_o-990013,pay order
deliver_p-660021,package delivered
pick_i-880228,pick item
pick_i-880220,pick item
confirm_o-990055,confirm order
pick_i-880235,pick item
pick_i-880231,pick item
reorder_i-880230,reorder item
place_o-990057,place order
reorder_i-880202,reorder item
confirm_o-990057,confirm order
pick_i-880246,pick item
send_p-660023,send package
confirm_o-990056,confirm order
send_p-660022,send package
out_of_stock_i-880236,item out of stock
pick_i-880237,pick item
place_o-990058,place order
out_of_stock_i-880247,item out of stock
pick_i-880245,pick item
confirm_o-990040,confirm order
pick_i-880214,pick item
place_o-990059,place order
place_o-990060,place order
out_of_stock_i-880244,item out of stock
pick_i-880243,pick item
pick_i-880248,pick item
deliver_p-660022,package delivered
confirm_o-990054,confirm order
pick_i-880206,pick item
create_p-660024,create package
reminder_o-990016_6,payment reminder
out_of_stock_i-880229,item out of stock
pay_o-990004,pay order
place_o-990061,place order
pick_i-880249,pick item
pick_i-880242,pick item
deliver_p-660023,package delivered
reorder_i-880209,reorder item
send_p-660024,send package
pick_i-880222,pick item
pick_i-880219,pick item
reorder_i-880229,reorder item
place_o-990062,place order
confirm_o-990061,confirm order
pick_i-880131,pick item
pick_i-880255,pick item
confirm_o-990059,confirm order
place_o-990063,place order
confirm_o-990060,confirm order
pick_i-880227,pick item
pick_i-880267,pick item
pick_i-880240,pick item
place_o-990064,place order
confirm_o-990058,confirm order
pay_o-990043,pay order
confirm_o-990064,confirm order
pick_i-880225,pick item
pick_i-880275,pick item
out_of_stock_i-880276,item out of stock
out_of_stock_i-880262,item out of stock
place_o-990065,place order
out_of_stock_i-880260,item out of stock
place_o-990066,place order
deliver_p-660024,package delivered
place_o-990067,place order
confirm_o-990063,confirm order
pick_i-880270,pick item
place_o-990068,place order
pick_i-880259,pick item
confirm_o-990066,confirm order
reorder_i-880247,reorder item
reorder_i-880244,reorder item
pick_i-880284,pick item
confirm_o-990067,confirm order
pick_i-880153,pick item
reorder_i-880239,reorder item
pick_i-880244,pick item
pick_i-880234,pick item
confirm_o-990068,confirm order
place_o-990069,place order
pick_i-880294,pick item
create_p-660025,create package
out_of_stock_i-880256,item out of stock
out_of_stock_i-880293,item out of stock
pick_i-880273,pick item
pay_o-990067,pay order
pick_i-880292,pick item
reorder_i-880260,reorder item
place_o-990070,place order
