,ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
0,place_o-990001,2023-04-03 12:08:18+00:00,place order,o-990001,,,1353.98,orders
1,place_o-990002,2023-04-03 16:36:55+00:00,place order,o-990002,,,3083.0,orders
2,place_o-990003,2023-04-03 23:31:23+00:00,place order,o-990003,,,3599.99,orders
3,place_o-990004,2023-04-04 12:30:50+00:00,place order,o-990004,,,2241.95,orders
4,confirm_o-990002,2023-04-04 16:09:41+00:00,confirm order,o-990002,,,3083.0,orders
5,confirm_o-990001,2023-04-04 16:34:29+00:00,confirm order,o-990001,,,1353.98,orders
6,place_o-990005,2023-04-04 17:21:59+00:00,place order,o-990005,,,3049.98,orders
7,confirm_o-990005,2023-04-04 20:51:37+00:00,confirm order,o-990005,,,3049.98,orders
8,place_o-990006,2023-04-05 06:24:56+00:00,place order,o-990006,,,5732.98,orders
9,confirm_o-990006,2023-04-05 11:27:31+00:00,confirm order,o-990006,,,5732.98,orders
10,place_o-990007,2023-04-05 13:05:45+00:00,place order,o-990007,,,2600.98,orders
11,confirm_o-990003,2023-04-05 15:27:08+00:00,confirm order,o-990003,,,3599.99,orders
12,pay_o-990005,2023-04-05 17:28:14+00:00,pay order,o-990005,,,3049.98,orders
13,place_o-990008,2023-04-05 17:31:49+00:00,place order,o-990008,,,2691.99,orders
14,pay_o-990001,2023-04-05 17:47:04+00:00,pay order,o-990001,,,1353.98,orders
15,confirm_o-990007,2023-04-05 18:01:56+00:00,confirm order,o-990007,,,2600.98,orders
16,place_o-990009,2023-04-06 08:13:07+00:00,place order,o-990009,,,1268.98,orders
17,confirm_o-990008,2023-04-06 09:27:43+00:00,confirm order,o-990008,,,2691.99,orders
18,confirm_o-990009,2023-04-06 10:12:38+00:00,confirm order,o-990009,,,1268.98,orders
19,place_o-990010,2023-04-06 13:09:59+00:00,place order,o-990010,,,3751.0,orders
20,confirm_o-990004,2023-04-06 15:26:08+00:00,confirm order,o-990004,,,2241.95,orders
21,pay_o-990008,2023-04-06 16:30:08+00:00,pay order,o-990008,,,2691.99,orders
