,ocel:eid,time:timestamp,concept:name,case:concept:name,case:role,case:weight,case:price,case:ocel:type
0,create_p-660001,2023-04-08 01:00:00+00:00,create package,p-660001,,8.484,,packages
1,send_p-660001,2023-04-10 10:40:42+00:00,send package,p-660001,,8.484,,packages
2,deliver_p-660001,2023-04-11 11:03:27+00:00,package delivered,p-660001,,8.484,,packages
3,create_p-660002,2023-04-12 09:52:12+00:00,create package,p-660002,,3.125,,packages
4,create_p-660003,2023-04-12 15:59:22+00:00,create package,p-660003,,3.606,,packages
5,send_p-660002,2023-04-12 16:34:48+00:00,send package,p-660002,,3.125,,packages
6,create_p-660004,2023-04-13 01:00:00+00:00,create package,p-660004,,5.247,,packages
7,send_p-660004,2023-04-13 08:05:53+00:00,send package,p-660004,,5.247,,packages
8,deliver_p-660004,2023-04-13 08:08:48+00:00,package delivered,p-660004,,5.247,,packages
9,send_p-660003,2023-04-13 12:50:06+00:00,send package,p-660003,,3.606,,packages
10,create_p-660005,2023-04-13 15:01:36+00:00,create package,p-660005,,3.471,,packages
11,deliver_p-660002,2023-04-13 15:28:20+00:00,package delivered,p-660002,,3.125,,packages
12,send_p-660005,2023-04-13 15:57:03+00:00,send package,p-660005,,3.471,,packages
13,deliver_p-660003,2023-04-13 18:01:52+00:00,package delivered,p-660003,,3.606,,packages
14,deliver_p-660005,2023-04-13 19:27:26+00:00,package delivered,p-660005,,3.471,,packages
15,create_p-660006,2023-04-14 16:52:44+00:00,create package,p-660006,,2.699,,packages
16,create_p-660007,2023-04-17 09:58:42+00:00,create package,p-660007,,3.706,,packages
17,send_p-660006,2023-04-17 10:38:41+00:00,send package,p-660006,,2.699,,packages
18,create_p-660008,2023-04-17 15:15:22+00:00,create package,p-660008,,3.713,,packages
19,fail_p-660006_1,2023-04-17 16:13:05+00:00,failed delivery,p-660006,,2.699,,packages
20,send_p-660007,2023-04-17 16:21:13+00:00,send package,p-660007,,3.706,,packages
21,create_p-660009,2023-04-18 01:00:00+00:00,create package,p-660009,,1.21,,packages
22,deliver_p-660007,2023-04-18 09:51:02+00:00,package delivered,p-660007,,3.706,,packages
23,send_p-660009,2023-04-18 10:44:34+00:00,send package,p-660009,,1.21,,packages
24,deliver_p-660006,2023-04-18 15:24:23+00:00,package delivered,p-660006,,2.699,,packages
25,send_p-660008,2023-04-18 16:45:22+00:00,send package,p-660008,,3.713,,packages
26,create_p-660010,2023-04-18 17:30:06+00:00,create package,p-660010,,7.366,,packages
27,send_p-660010,2023-04-18 17:30:41+00:00,send package,p-660010,,7.366,,packages
28,deliver_p-660008,2023-04-18 21:45:58+00:00,package delivered,p-660008,,3.713,,packages
29,deliver_p-660009,2023-04-19 10:22:59+00:00,package delivered,p-660009,,1.21,,packages
30,create_p-660011,2023-04-19 11:30:18+00:00,create package,p-660011,,7.113,,packages
31,deliver_p-660010,2023-04-19 11:39:16+00:00,package delivered,p-660010,,7.366,,packages
32,send_p-660011,2023-04-19 13:55:14+00:00,send package,p-660011,,7.113,,packages
33,create_p-660012,2023-04-20 10:37:13+00:00,create package,p-660012,,3.186,,packages
34,deliver_p-660011,2023-04-20 12:54:38+00:00,package delivered,p-660011,,7.113,,packages
35,create_p-660013,2023-04-20 14:54:46+00:00,create package,p-660013,,8.02,,packages
36,send_p-660012,2023-04-20 15:45:41+00:00,send package,p-660012,,3.186,,packages
37,send_p-660013,2023-04-20 16:22:40+00:00,send package,p-660013,,8.02,,packages
38,fail_p-660013_2,2023-04-21 08:51:18+00:00,failed delivery,p-660013,,8.02,,packages
39,deliver_p-660012,2023-04-21 09:46:26+00:00,package delivered,p-660012,,3.186,,packages
40,fail_p-660013_3,2023-04-21 10:39:44+00:00,failed delivery,p-660013,,8.02,,packages
41,deliver_p-660013,2023-04-21 18:38:23+00:00,package delivered,p-660013,,8.02,,packages
42,create_p-660014,2023-04-23 01:00:00+00:00,create package,p-660014,,1.463,,packages
43,send_p-660014,2023-04-24 08:17:24+00:00,send package,p-660014,,1.463,,packages
44,create_p-660015,2023-04-24 09:44:49+00:00,create package,p-660015,,1.086,,packages
45,deliver_p-660014,2023-04-24 11:25:23+00:00,package delivered,p-660014,,1.463,,packages
46,create_p-660016,2023-04-24 12:22:10+00:00,create package,p-660016,,1.0,,packages
47,send_p-660016,2023-04-24 12:31:08+00:00,send package,p-660016,,1.0,,packages
48,send_p-660015,2023-04-24 14:03:52+00:00,send package,p-660015,,1.086,,packages
49,create_p-660017,2023-04-24 16:03:42+00:00,create package,p-660017,,2.403,,packages
50,deliver_p-660016,2023-04-24 16:56:02+00:00,package delivered,p-660016,,1.0,,packages
51,send_p-660017,2023-04-24 19:50:53+00:00,send package,p-660017,,2.403,,packages
52,deliver_p-660015,2023-04-24 20:38:09+00:00,package delivered,p-660015,,1.086,,packages
53,create_p-660018,2023-04-25 10:25:13+00:00,create package,p-660018,,0.48,,packages
54,create_p-660019,2023-04-25 11:32:43+00:00,create package,p-660019,,10.908,,packages
55,send_p-660019,2023-04-25 14:51:47+00:00,send package,p-660019,,10.908,,packages
56,send_p-660018,2023-04-25 15:42:59+00:00,send package,p-660018,,0.48,,packages
57,deliver_p-660017,2023-04-25 15:43:47+00:00,package delivered,p-660017,,2.403,,packages
58,deliver_p-660019,2023-04-25 18:23:20+00:00,package delivered,p-660019,,10.908,,packages
59,deliver_p-660018,2023-04-26 11:29:18+00:00,package delivered,p-660018,,0.48,,packages
60,create_p-660020,2023-04-26 16:24:44+00:00,create package,p-660020,,2.156,,packages
61,create_p-660021,2023-04-26 19:02:45+00:00,create package,p-660021,,4.0,,packages
62,send_p-660020,2023-04-26 20:43:43+00:00,send package,p-660020,,2.156,,packages
63,deliver_p-660020,2023-04-27 09:28:18+00:00,package delivered,p-660020,,2.156,,packages
64,send_p-660021,2023-04-27 13:40:30+00:00,send package,p-660021,,4.0,,packages
65,create_p-660022,2023-04-27 17:01:33+00:00,create package,p-660022,,3.595,,packages
66,create_p-660023,2023-04-28 01:00:00+00:00,create package,p-660023,,2.78,,packages
67,deliver_p-660021,2023-04-28 09:43:45+00:00,package delivered,p-660021,,4.0,,packages
68,send_p-660023,2023-04-28 15:56:19+00:00,send package,p-660023,,2.78,,packages
69,send_p-660022,2023-04-28 16:21:56+00:00,send package,p-660022,,3.595,,packages
70,deliver_p-660022,2023-05-01 08:53:21+00:00,package delivered,p-660022,,3.595,,packages
71,create_p-660024,2023-05-01 09:25:12+00:00,create package,p-660024,,10.045,,packages
72,deliver_p-660023,2023-05-01 10:12:39+00:00,package delivered,p-660023,,2.78,,packages
73,send_p-660024,2023-05-01 11:03:08+00:00,send package,p-660024,,10.045,,packages
74,deliver_p-660024,2023-05-01 20:34:34+00:00,package delivered,p-660024,,10.045,,packages
75,create_p-660025,2023-05-02 11:51:47+00:00,create package,p-660025,,1.155,,packages
76,create_p-660026,2023-05-02 14:23:53+00:00,create package,p-660026,,2.523,,packages
77,create_p-660027,2023-05-02 16:13:55+00:00,create package,p-660027,,5.656,,packages
78,send_p-660027,2023-05-02 16:58:46+00:00,send package,p-660027,,5.656,,packages
79,send_p-660025,2023-05-02 17:22:11+00:00,send package,p-660025,,1.155,,packages
80,create_p-660028,2023-05-03 01:00:00+00:00,create package,p-660028,,4.213,,packages
81,send_p-660026,2023-05-03 10:03:43+00:00,send package,p-660026,,2.523,,packages
82,fail_p-660027_4,2023-05-03 10:33:31+00:00,failed delivery,p-660027,,5.656,,packages
83,create_p-660029,2023-05-03 11:53:14+00:00,create package,p-660029,,1.19,,packages
84,create_p-660030,2023-05-03 12:56:45+00:00,create package,p-660030,,2.041,,packages
85,create_p-660031,2023-05-03 14:51:52+00:00,create package,p-660031,,3.49,,packages
86,send_p-660030,2023-05-03 15:23:28+00:00,send package,p-660030,,2.041,,packages
87,send_p-660028,2023-05-03 15:33:17+00:00,send package,p-660028,,4.213,,packages
88,deliver_p-660025,2023-05-03 16:15:45+00:00,package delivered,p-660025,,1.155,,packages
89,send_p-660029,2023-05-03 18:27:58+00:00,send package,p-660029,,1.19,,packages
90,create_p-660032,2023-05-03 18:44:44+00:00,create package,p-660032,,1.37,,packages
91,create_p-660033,2023-05-03 19:05:31+00:00,create package,p-660033,,9.778,,packages
92,deliver_p-660029,2023-05-04 08:52:38+00:00,package delivered,p-660029,,1.19,,packages
93,deliver_p-660028,2023-05-04 10:30:36+00:00,package delivered,p-660028,,4.213,,packages
94,deliver_p-660030,2023-05-04 10:39:13+00:00,package delivered,p-660030,,2.041,,packages
95,fail_p-660026_5,2023-05-04 10:51:30+00:00,failed delivery,p-660026,,2.523,,packages
96,send_p-660032,2023-05-04 11:11:36+00:00,send package,p-660032,,1.37,,packages
97,create_p-660034,2023-05-04 11:41:20+00:00,create package,p-660034,,5.19,,packages
98,fail_p-660027_6,2023-05-04 13:41:53+00:00,failed delivery,p-660027,,5.656,,packages
99,deliver_p-660032,2023-05-04 14:15:35+00:00,package delivered,p-660032,,1.37,,packages
100,send_p-660031,2023-05-04 14:40:06+00:00,send package,p-660031,,3.49,,packages
101,send_p-660033,2023-05-04 15:21:18+00:00,send package,p-660033,,9.778,,packages
102,create_p-660035,2023-05-04 17:00:20+00:00,create package,p-660035,,4.929,,packages
103,send_p-660035,2023-05-04 17:11:11+00:00,send package,p-660035,,4.929,,packages
104,fail_p-660027_7,2023-05-04 19:14:20+00:00,failed delivery,p-660027,,5.656,,packages
105,deliver_p-660035,2023-05-05 09:02:34+00:00,package delivered,p-660035,,4.929,,packages
106,deliver_p-660031,2023-05-05 09:20:52+00:00,package delivered,p-660031,,3.49,,packages
107,create_p-660036,2023-05-05 10:05:39+00:00,create package,p-660036,,4.655,,packages
108,send_p-660034,2023-05-05 10:25:36+00:00,send package,p-660034,,5.19,,packages
109,deliver_p-660026,2023-05-05 10:42:10+00:00,package delivered,p-660026,,2.523,,packages
110,create_p-660037,2023-05-05 11:57:42+00:00,create package,p-660037,,6.292,,packages
111,deliver_p-660034,2023-05-05 12:21:31+00:00,package delivered,p-660034,,5.19,,packages
112,deliver_p-660033,2023-05-05 12:32:38+00:00,package delivered,p-660033,,9.778,,packages
113,send_p-660036,2023-05-05 12:42:16+00:00,send package,p-660036,,4.655,,packages
114,deliver_p-660036,2023-05-05 14:38:24+00:00,package delivered,p-660036,,4.655,,packages
115,create_p-660038,2023-05-05 16:11:40+00:00,create package,p-660038,,1.929,,packages
116,send_p-660038,2023-05-05 17:43:26+00:00,send package,p-660038,,1.929,,packages
117,create_p-660039,2023-05-05 17:54:29+00:00,create package,p-660039,,5.966,,packages
118,send_p-660039,2023-05-05 19:37:43+00:00,send package,p-660039,,5.966,,packages
119,create_p-660040,2023-05-08 01:00:00+00:00,create package,p-660040,,2.151,,packages
120,fail_p-660027_8,2023-05-08 10:24:14+00:00,failed delivery,p-660027,,5.656,,packages
121,send_p-660037,2023-05-08 10:28:27+00:00,send package,p-660037,,6.292,,packages
122,fail_p-660027_9,2023-05-08 10:34:56+00:00,failed delivery,p-660027,,5.656,,packages
123,deliver_p-660038,2023-05-08 11:05:44+00:00,package delivered,p-660038,,1.929,,packages
124,fail_p-660039_10,2023-05-08 11:36:33+00:00,failed delivery,p-660039,,5.966,,packages
